name, RX Frontend Calibration
serial, F59193
timestamp, 1454424550
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, -0.265203, -0.882945, 93.1842, 80.7024
1.2073e+09, -0.233196, -0.825789, 86.2311, 73.0938
1.2146e+09, -0.203475, -0.76909, 84.6329, 70.8019
1.2219e+09, -0.176955, -0.711934, 91.9251, 77.3634
1.2292e+09, -0.150892, -0.654321, 87.2493, 71.9035
1.2365e+09, -0.128029, -0.598537, 91.2395, 75.059
1.2438e+09, -0.108368, -0.544582, 93.3757, 76.338
1.2511e+09, -0.0912971, -0.495046, 89.9407, 72.0335
1.2584e+09, -0.0766651, -0.446578, 94.9589, 76.1339
1.2657e+09, -0.0638622, -0.402225, 91.1131, 71.3337
1.273e+09, -0.0530407, -0.358634, 77.3002, 56.5047
1.2803e+09, -0.042524, -0.315348, 91.3304, 69.4074
1.2876e+09, -0.034446, -0.27572, 87.1229, 64.0089
1.2949e+09, -0.0263679, -0.236092, 91.6507, 67.165
1.3022e+09, -0.0205761, -0.198903, 80.3165, 54.3049
1.3095e+09, -0.0146319, -0.160341, 94.319, 66.4837
1.3168e+09, -0.0102119, -0.124524, 90.208, 60.1225
1.3241e+09, -0.00762079, -0.0999848, 103.154, 71.1689
1.3314e+09, -0.00411523, -0.0658436, 97.6795, 62.0433
1.3387e+09, -0.00121933, -0.0330742, 96.86, 55.2671
1.346e+09, -1.12215e-16, -0.00274348, 96.7401, 32.8649
1.3533e+09, 0.00182899, 0.0256059, 94.6225, 50.7142
1.3606e+09, 0.00243865, 0.0504496, 84.9389, 46.9584
1.3679e+09, 0.0028959, 0.0719403, 95.6689, 60.7722
1.3752e+09, 0.00304832, 0.0893157, 89.3095, 56.292
1.3825e+09, 0.00335315, 0.102119, 96.3224, 64.4676
1.3898e+09, 0.00274348, 0.109739, 89.6848, 58.4443
1.3971e+09, 0.00259107, 0.111721, 98.5443, 67.4873
1.4044e+09, 0.00259107, 0.10852, 87.1481, 55.8027
1.4117e+09, 0.00228624, 0.0996799, 91.9985, 59.9151
1.419e+09, 0.00259107, 0.0847432, 87.5551, 54.1123
1.4263e+09, 0.00182899, 0.0653864, 92.8912, 57.2316
1.4336e+09, 0.00106691, 0.042524, 95.6669, 56.2204
1.4409e+09, -0.000152416, 0.0169182, 89.8625, 42.5052
1.4482e+09, -0.00121933, -0.00960219, 85.6951, 33.0886
1.4555e+09, -0.00304832, -0.0356653, 91.5355, 50.5871
1.4628e+09, -0.00548697, -0.0603567, 90.9502, 54.5314
1.4701e+09, -0.00777321, -0.0830666, 88.07, 54.4577
1.4774e+09, -0.00990703, -0.103185, 98.9273, 67.1913
1.4847e+09, -0.0114312, -0.121171, 93.2803, 62.9884
1.492e+09, -0.0134126, -0.137174, 95.7859, 66.5566
1.4993e+09, -0.0150892, -0.151349, 88.5946, 60.1642
1.5066e+09, -0.00243865, -0.0298735, 92.1425, 49.7066
1.5139e+09, -0.00975461, -0.106234, 90.0597, 58.5997
1.5212e+09, -0.0192044, -0.174973, 91.2729, 64.1556
1.5285e+09, -0.0291114, -0.237464, 105.033, 80.6104
1.5358e+09, -0.0393233, -0.290962, 83.7452, 61.0789
1.5431e+09, -0.0493827, -0.334248, 88.4418, 67.0306
1.5504e+09, -0.0583752, -0.369608, 81.9758, 61.4634
1.5577e+09, -0.065234, -0.398567, 102.153, 82.2955
1.565e+09, -0.0711782, -0.420363, 82.8439, 63.4517
1.5723e+09, -0.0757506, -0.437433, 97.3276, 78.3037
1.5796e+09, -0.0791038, -0.44856, 87.6977, 68.883
1.5869e+09, -0.080628, -0.453742, 97.3333, 78.6289
1.5942e+09, -0.0801707, -0.454961, 87.4966, 68.8166
1.6015e+09, -0.0794086, -0.453742, 90.7163, 72.0042
1.6088e+09, -0.0777321, -0.446273, 112.835, 93.9737
1.6161e+09, -0.0743789, -0.435604, 107.261, 88.1838
1.6234e+09, -0.0705685, -0.422497, 88.3357, 68.9933
1.6307e+09, -0.0672154, -0.410151, 103.539, 83.9321
1.638e+09, -0.0650815, -0.401616, 79.4324, 59.6209
1.6453e+09, -0.0626429, -0.391404, 89.591, 69.5562
1.6526e+09, -0.0602042, -0.383021, 94.8944, 74.6883
1.6599e+09, -0.0588325, -0.377077, 89.6232, 69.2563
1.6672e+09, -0.0574608, -0.370675, 93.4536, 72.9433
1.6745e+09, -0.0565463, -0.367779, 95.7926, 75.2087
1.6818e+09, -0.0550221, -0.360463, 83.4603, 62.704
1.6891e+09, -0.052431, -0.352385, 100.002, 79.0339
1.6964e+09, -0.0510593, -0.342936, 94.7473, 73.5615
1.7037e+09, -0.04984, -0.336534, 92.8442, 71.4823
1.711e+09, -0.0478586, -0.328913, 100.403, 78.8526
1.7183e+09, -0.0464868, -0.321902, 98.8474, 77.104
1.7256e+09, -0.0452675, -0.314129, 81.5169, 59.5493
1.7329e+09, -0.0428288, -0.304679, 88.8264, 66.5908
1.7402e+09, -0.0405426, -0.295077, 86.0313, 63.5075
1.7475e+09, -0.0387136, -0.286847, 96.4956, 73.7288
1.7548e+09, -0.0359701, -0.277244, 92.067, 68.9917
1.7621e+09, -0.0336839, -0.26688, 89.5491, 66.1399
1.7694e+09, -0.0313977, -0.256668, 93.8651, 70.1162
1.7767e+09, -0.0297211, -0.246456, 110.228, 86.1336
1.784e+09, -0.0280445, -0.238836, 88.8609, 64.4547
1.7913e+09, -0.0265203, -0.228624, 101.261, 76.5057
1.7986e+09, -0.0249962, -0.219021, 96.2444, 71.1124
1.8059e+09, -0.0233196, -0.209877, 101.725, 76.197
1.8132e+09, -0.0219479, -0.200274, 99.3431, 73.4239
1.8205e+09, -0.0202713, -0.191587, 96.8669, 70.5356
1.8278e+09, -0.0166133, -0.17162, 87.9613, 60.6757
1.8351e+09, -0.0160037, -0.164457, 95.6945, 68.0276
1.8424e+09, -0.0143271, -0.157141, 96.4147, 68.3493
1.8497e+09, -0.0132602, -0.149977, 98.4549, 70.0145
1.857e+09, -0.0118884, -0.142204, 87.1929, 58.2667
1.8643e+09, -0.0112788, -0.135498, 99.1233, 69.7977
1.8716e+09, -0.0108215, -0.130468, 92.789, 63.1051
1.8789e+09, -0.00975461, -0.124219, 92.1355, 62.002
1.8862e+09, -0.00944978, -0.119799, 93.6107, 63.2143
1.8935e+09, -0.00914495, -0.117513, 88.5456, 57.9271
1.9008e+09, -0.00853528, -0.115836, 100.091, 69.3701
1.9081e+09, -0.00884012, -0.113093, 100.776, 69.8363
1.9154e+09, -0.00884012, -0.112635, 95.1788, 64.2574
1.9227e+09, -0.00944978, -0.11355, 90.2664, 59.4184
1.93e+09, -0.00960219, -0.113397, 108.637, 77.7659
1.9373e+09, -0.00960219, -0.115531, 92.4725, 61.7602
1.9446e+09, -0.00929736, -0.11797, 98.3546, 67.7888
1.9519e+09, -0.00990703, -0.121475, 86.2876, 55.9672
1.9592e+09, -0.0103643, -0.122542, 94.9622, 64.7782
1.9665e+09, -0.0106691, -0.127572, 101.363, 71.496
1.9738e+09, -0.0109739, -0.132297, 83.3531, 53.8224
1.9811e+09, -0.0114312, -0.137479, 93.666, 64.4797
1.9884e+09, -0.0124981, -0.143118, 92.851, 63.9783
1.9957e+09, -0.0123457, -0.146624, 86.7113, 58.0331
2.003e+09, -0.0129553, -0.150739, 92.5536, 64.1485
2.0103e+09, -0.013565, -0.156074, 98.0994, 69.9632
2.0176e+09, -0.0138698, -0.159884, 88.563, 60.6576
2.0249e+09, -0.0141747, -0.160951, 104.756, 76.9286
2.0322e+09, -0.0146319, -0.163542, 90.9713, 63.2588
2.0395e+09, -0.0144795, -0.165828, 100.016, 72.4213
2.0468e+09, -0.0147843, -0.1672, 96.0292, 68.5033
2.0541e+09, -0.0146319, -0.167505, 96.494, 69.0119
