name, RX Frontend Calibration
serial, F591A4
timestamp, 1454426666
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0, 0, 0, 1.21048
1.2073e+09, 0, 0, 0, 1.2204
1.2146e+09, 0, 0, 0, 1.2289
1.2219e+09, 0, 0, 0, 1.23637
1.2292e+09, 0, 0, 0, 1.24235
1.2365e+09, 0, 0, 0, 1.2472
1.2438e+09, 0, 0, 0, 1.25067
1.2511e+09, 0, 0, 0, 1.25282
1.2584e+09, 0, 0, 0, 1.25466
1.2657e+09, 0, 0, 0, 1.25563
1.273e+09, 0, 0, 0, 1.25581
1.2803e+09, 0, 0, 0, 1.25559
1.2876e+09, 0, 0, 0, 1.25456
1.2949e+09, 0, 0, 0, 1.25336
1.3022e+09, 0, 0, 0, 1.25198
1.3095e+09, 0, 0, 0, 1.25023
1.3168e+09, 0, 0, 0, 1.24804
1.3241e+09, 0, 0, 0, 1.24662
1.3314e+09, 0, 0, 0, 1.24383
1.3387e+09, 0, 0, 0, 1.24142
1.346e+09, 0, 0, 0, 1.23887
1.3533e+09, 0, 0, 0, 1.23625
1.3606e+09, 0, 0, 0, 1.23395
1.3679e+09, 0, 0, 0, 1.2323
1.3752e+09, 0, 0, 0, 1.23073
1.3825e+09, 0, 0, 0, 1.22994
1.3898e+09, 0, 0, 0, 1.22927
1.3971e+09, 0, 0, 0, 1.2294
1.4044e+09, 0, 0, 0, 1.23042
1.4117e+09, 0, 0, 0, 1.23169
1.419e+09, 0, 0, 0, 1.23382
1.4263e+09, 0, 0, 0, 1.23575
1.4336e+09, 0, 0, 0, 1.23849
1.4409e+09, 0, 0, 0, 1.241
1.4482e+09, 0, 0, 0, 1.24304
1.4555e+09, 0, 0, 0, 1.24494
1.4628e+09, 0, 0, 0, 1.24725
1.4701e+09, 0, 0, 0, 1.24849
1.4774e+09, 0, 0, 0, 1.24969
1.4847e+09, 0, 0, 0, 1.2509
1.492e+09, 0, 0, 0, 1.25174
1.4993e+09, 0, 0, 0, 1.25272
1.5066e+09, 0, 0, 0, 1.24511
1.5139e+09, 0, 0, 0, 1.24999
1.5212e+09, 0, 0, 0, 1.2526
1.5285e+09, 0, 0, 0, 1.2547
1.5358e+09, 0, 0, 0, 1.25445
1.5431e+09, 0, 0, 0, 1.25468
1.5504e+09, 0, 0, 0, 1.25409
1.5577e+09, 0, 0, 0, 1.25331
1.565e+09, 0, 0, 0, 1.25281
1.5723e+09, 0, 0, 0, 1.25196
1.5796e+09, 0, 0, 0, 1.25164
1.5869e+09, 0, 0, 0, 1.25088
1.5942e+09, 0, 0, 0, 1.25116
1.6015e+09, 0, 0, 0, 1.25146
1.6088e+09, 0, 0, 0, 1.25141
1.6161e+09, 0, 0, 0, 1.25144
1.6234e+09, 0, 0, 0, 1.25205
1.6307e+09, 0, 0, 0, 1.25249
1.638e+09, 0, 0, 0, 1.25216
1.6453e+09, 0, 0, 0, 1.25139
1.6526e+09, 0, 0, 0, 1.25209
1.6599e+09, 0, 0, 0, 1.25231
1.6672e+09, 0, 0, 0, 1.25376
1.6745e+09, 0, 0, 0, 1.25423
1.6818e+09, 0, 0, 0, 1.25353
1.6891e+09, 0, 0, 0, 1.25383
1.6964e+09, 0, 0, 0, 1.25408
1.7037e+09, 0, 0, 0, 1.2542
1.711e+09, 0, 0, 0, 1.25428
1.7183e+09, 0, 0, 0, 1.25437
1.7256e+09, 0, 0, 0, 1.25454
1.7329e+09, 0, 0, 0, 1.25503
1.7402e+09, 0, 0, 0, 1.25484
1.7475e+09, 0, 0, 0, 1.25528
1.7548e+09, 0, 0, 0, 1.2555
1.7621e+09, 0, 0, 0, 1.25556
1.7694e+09, 0, 0, 0, 1.2558
1.7767e+09, 0, 0, 0, 1.25567
1.784e+09, 0, 0, 0, 1.25589
1.7913e+09, 0, 0, 0, 1.25578
1.7986e+09, 0, 0, 0, 1.25545
1.8059e+09, 0, 0, 0, 1.25502
1.8132e+09, 0, 0, 0, 1.25482
1.8205e+09, 0, 0, 0, 1.25483
1.8278e+09, 0, 0, 0, 1.25416
1.8351e+09, 0, 0, 0, 1.25418
1.8424e+09, 0, 0, 0, 1.25386
1.8497e+09, 0, 0, 0, 1.25355
1.857e+09, 0, 0, 0, 1.25332
1.8643e+09, 0, 0, 0, 1.25315
1.8716e+09, 0, 0, 0, 1.25315
1.8789e+09, 0, 0, 0, 1.2529
1.8862e+09, 0, 0, 0, 1.2526
1.8935e+09, 0, 0, 0, 1.25248
1.9008e+09, 0, 0, 0, 1.25216
1.9081e+09, 0, 0, 0, 1.2525
1.9154e+09, 0, 0, 0, 1.2525
1.9227e+09, 0, 0, 0, 1.25242
1.93e+09, 0, 0, 0, 1.25198
1.9373e+09, 0, 0, 0, 1.25209
1.9446e+09, 0, 0, 0, 1.25212
1.9519e+09, 0, 0, 0, 1.25287
1.9592e+09, 0, 0, 0, 1.25276
1.9665e+09, 0, 0, 0, 1.25288
1.9738e+09, 0, 0, 0, 1.25376
1.9811e+09, 0, 0, 0, 1.25375
1.9884e+09, 0, 0, 0, 1.25397
1.9957e+09, 0, 0, 0, 1.25433
2.003e+09, 0, 0, 0, 1.25373
2.0103e+09, 0, 0, 0, 1.25485
2.0176e+09, 0, 0, 0, 1.25471
2.0249e+09, 0, 0, 0, 1.25484
2.0322e+09, 0, 0, 0, 1.25479
2.0395e+09, 0, 0, 0, 1.2548
2.0468e+09, 0, 0, 0, 1.25456
2.0541e+09, 0, 0, 0, 1.2543
2.0614e+09, 0, 0, 0, 1.25406
2.0687e+09, 0, 0, 0, 1.25413
2.076e+09, 0, 0, 0, 1.25418
2.0833e+09, 0, 0, 0, 1.25403
2.0906e+09, 0, 0, 0, 1.25408
2.0979e+09, 0, 0, 0, 1.25406
2.1052e+09, 0, 0, 0, 1.25345
2.1125e+09, 0, 0, 0, 1.25309
2.1198e+09, 0, 0, 0, 1.25362
2.1271e+09, 0, 0, 0, 1.25316
2.1344e+09, 0, 0, 0, 1.25318
2.1417e+09, 0, 0, 0, 1.25275
2.149e+09, 0, 0, 0, 1.25272
2.1563e+09, 0, 0, 0, 1.25291
2.1636e+09, 0, 0, 0, 1.25278
2.1709e+09, 0, 0, 0, 1.25277
2.1782e+09, 0, 0, 0, 1.25188
2.1855e+09, 0, 0, 0, 1.25175
2.1928e+09, 0, 0, 0, 1.25206
2.2001e+09, 0, 0, 0, 1.25182
2.2074e+09, 0, 0, 0, 1.25208
2.2147e+09, 0, 0, 0, 1.25208
2.222e+09, 0, 0, 0, 1.25186
2.2293e+09, 0, 0, 0, 1.25208
2.2366e+09, 0, 0, 0, 1.25239
2.2439e+09, 0, 0, 0, 1.25252
2.2512e+09, 0, 0, 0, 1.2527
2.2585e+09, 0, 0, 0, 1.25276
2.2658e+09, 0, 0, 0, 1.25289
2.2731e+09, 0, 0, 0, 1.25195
2.2804e+09, 0, 0, 0, 1.25241
2.2877e+09, 0, 0, 0, 1.25224
2.295e+09, 0, 0, 0, 1.25234
2.3023e+09, 0, 0, 0, 1.25292
2.3096e+09, 0, 0, 0, 1.25275
2.3169e+09, 0, 0, 0, 1.25263
2.3242e+09, 0, 0, 0, 1.25255
2.3315e+09, 0, 0, 0, 1.25224
2.3388e+09, 0, 0, 0, 1.25202
2.3461e+09, 0, 0, 0, 1.2523
2.3534e+09, 0, 0, 0, 1.25176
2.3607e+09, 0, 0, 0, 1.25135
2.368e+09, 0, 0, 0, 1.25181
2.3753e+09, 0, 0, 0, 1.25114
2.3826e+09, 0, 0, 0, 1.25037
2.3899e+09, 0, 0, 0, 1.25048
2.3972e+09, 0, 0, 0, 1.25041
2.4045e+09, 0, 0, 0, 1.25005
2.4118e+09, 0, 0, 0, 1.25029
2.4191e+09, 0, 0, 0, 1.25001
2.4264e+09, 0, 0, 0, 1.2493
2.4337e+09, 0, 0, 0, 1.2485
2.441e+09, 0, 0, 0, 1.24895
