name, RX Frontend Calibration
serial, F591C5
timestamp, 1454422630
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, -0.221003, -0.812376, 86.901, 73.5705
1.2073e+09, -0.192196, -0.756592, 80.8705, 66.8443
1.2146e+09, -0.165981, -0.700503, 88.5497, 73.791
1.2219e+09, -0.142204, -0.646243, 92.2511, 76.7425
1.2292e+09, -0.121018, -0.59244, 90.904, 74.5928
1.2365e+09, -0.101661, -0.540314, 118.266, 101.113
1.2438e+09, -0.085048, -0.490931, 92.8491, 74.8205
1.2511e+09, -0.0705685, -0.445207, 87.8338, 68.9184
1.2584e+09, -0.0580704, -0.399329, 90.3997, 70.5188
1.2657e+09, -0.0475537, -0.35711, 100.017, 79.1368
1.273e+09, -0.0374943, -0.315196, 89.5566, 67.5814
1.2803e+09, -0.0291114, -0.274196, 92.3603, 69.1614
1.2876e+09, -0.021643, -0.236702, 96.2572, 71.7387
1.2949e+09, -0.0149367, -0.198445, 97.5772, 71.5375
1.3022e+09, -0.0100594, -0.162018, 93.5098, 65.7135
1.3095e+09, -0.00533455, -0.127115, 89.1918, 59.2146
1.3168e+09, -0.00198141, -0.0926688, 95.9715, 63.2707
1.3241e+09, 0.000152416, -0.0707209, 121.22, 86.2423
1.3314e+09, 0.00274348, -0.038866, 95.0076, 54.809
1.3387e+09, 0.00457247, -0.0086877, 105.246, 53.2062
1.346e+09, 0.00640146, 0.0196616, 89.9257, 44.0031
1.3533e+09, 0.00685871, 0.0451151, 93.6086, 54.807
1.3606e+09, 0.00777321, 0.0682823, 91.5355, 56.1801
1.3679e+09, 0.00746837, 0.0882487, 103.339, 70.2146
1.3752e+09, 0.00746837, 0.103795, 92.3774, 60.7167
1.3825e+09, 0.00777321, 0.115684, 94.8406, 64.0936
1.3898e+09, 0.00777321, 0.123, 91.8679, 61.6622
1.3971e+09, 0.00701113, 0.125591, 91.8781, 61.8337
1.4044e+09, 0.00701113, 0.122695, 89.4294, 59.1565
1.4117e+09, 0.00716354, 0.114007, 96.1052, 65.2645
1.419e+09, 0.00731596, 0.100899, 89.9502, 57.9788
1.4263e+09, 0.00701113, 0.0824569, 94.0102, 60.3179
1.4336e+09, 0.00609663, 0.0591373, 85.6306, 49.0837
1.4409e+09, 0.00563938, 0.0335315, 113.385, 71.9281
1.4482e+09, 0.00396281, 0.00609663, 86.7023, 31.5088
1.4555e+09, 0.00243865, -0.0222527, 98.0649, 52.9856
1.4628e+09, -1.10426e-16, -0.050602, 88.4121, 50.369
1.4701e+09, -0.00259107, -0.0771224, 103.319, 69.031
1.4774e+09, -0.00457247, -0.102119, 90.869, 59.0416
1.4847e+09, -0.00777321, -0.125133, 97.5257, 67.4346
1.492e+09, -0.0103643, -0.145709, 91.8717, 63.1139
1.4993e+09, -0.0123457, -0.164304, 90.7069, 63.0054
1.5066e+09, 0.00426764, 0.0192044, 95.0366, 48.505
