name, RX Frontend Calibration
serial, F591CE
timestamp, 1454428479
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0, 0, 0, 1.032
1.2073e+09, 0, 0, 0, 1.05344
1.2146e+09, 0, 0, 0, 1.07323
1.2219e+09, 0, 0, 0, 1.09141
1.2292e+09, 0, 0, 0, 1.10695
1.2365e+09, 0, 0, 0, 1.12139
1.2438e+09, 0, 0, 0, 1.13446
1.2511e+09, 0, 0, 0, 1.14531
1.2584e+09, 0, 0, 0, 1.15543
1.2657e+09, 0, 0, 0, 1.16425
1.273e+09, 0, 0, 0, 1.17172
1.2803e+09, 0, 0, 0, 1.17851
1.2876e+09, 0, 0, 0, 1.18478
1.2949e+09, 0, 0, 0, 1.19026
1.3022e+09, 0, 0, 0, 1.19474
1.3095e+09, 0, 0, 0, 1.1991
1.3168e+09, 0, 0, 0, 1.20313
1.3241e+09, 0, 0, 0, 1.20574
1.3314e+09, 0, 0, 0, 1.2087
1.3387e+09, 0, 0, 0, 1.21136
1.346e+09, 0, 0, 0, 1.21371
1.3533e+09, 0, 0, 0, 1.21606
1.3606e+09, 0, 0, 0, 1.21784
1.3679e+09, 0, 0, 0, 1.21931
1.3752e+09, 0, 0, 0, 1.22007
1.3825e+09, 0, 0, 0, 1.22103
1.3898e+09, 0, 0, 0, 1.22155
1.3971e+09, 0, 0, 0, 1.22181
1.4044e+09, 0, 0, 0, 1.22174
1.4117e+09, 0, 0, 0, 1.22114
1.419e+09, 0, 0, 0, 1.22034
1.4263e+09, 0, 0, 0, 1.21935
1.4336e+09, 0, 0, 0, 1.21808
1.4409e+09, 0, 0, 0, 1.21595
1.4482e+09, 0, 0, 0, 1.21413
1.4555e+09, 0, 0, 0, 1.21184
1.4628e+09, 0, 0, 0, 1.20955
1.4701e+09, 0, 0, 0, 1.20759
1.4774e+09, 0, 0, 0, 1.2053
1.4847e+09, 0, 0, 0, 1.20345
1.492e+09, 0, 0, 0, 1.20125
1.4993e+09, 0, 0, 0, 1.19936
1.5066e+09, 0, 0, 0, 1.21342
1.5139e+09, 0, 0, 0, 1.20835
1.5212e+09, 0, 0, 0, 1.20008
1.5285e+09, 0, 0, 0, 1.19135
1.5358e+09, 0, 0, 0, 1.18457
1.5431e+09, 0, 0, 0, 1.17533
1.5504e+09, 0, 0, 0, 1.16678
1.5577e+09, 0, 0, 0, 1.16017
1.565e+09, 0, 0, 0, 1.15543
1.5723e+09, 0, 0, 0, 1.15349
1.5796e+09, 0, 0, 0, 1.15266
1.5869e+09, 0, 0, 0, 1.15265
1.5942e+09, 0, 0, 0, 1.15257
1.6015e+09, 0, 0, 0, 1.1519
1.6088e+09, 0, 0, 0, 1.15323
1.6161e+09, 0, 0, 0, 1.15521
1.6234e+09, 0, 0, 0, 1.15625
1.6307e+09, 0, 0, 0, 1.15979
1.638e+09, 0, 0, 0, 1.16296
1.6453e+09, 0, 0, 0, 1.16608
1.6526e+09, 0, 0, 0, 1.1694
1.6599e+09, 0, 0, 0, 1.17192
1.6672e+09, 0, 0, 0, 1.17415
1.6745e+09, 0, 0, 0, 1.17524
1.6818e+09, 0, 0, 0, 1.17675
1.6891e+09, 0, 0, 0, 1.17817
1.6964e+09, 0, 0, 0, 1.17945
1.7037e+09, 0, 0, 0, 1.18045
1.711e+09, 0, 0, 0, 1.18187
1.7183e+09, 0, 0, 0, 1.18316
1.7256e+09, 0, 0, 0, 1.18432
1.7329e+09, 0, 0, 0, 1.18563
1.7402e+09, 0, 0, 0, 1.18698
1.7475e+09, 0, 0, 0, 1.1884
1.7548e+09, 0, 0, 0, 1.18945
1.7621e+09, 0, 0, 0, 1.19118
1.7694e+09, 0, 0, 0, 1.19226
1.7767e+09, 0, 0, 0, 1.1939
1.784e+09, 0, 0, 0, 1.195
1.7913e+09, 0, 0, 0, 1.19628
1.7986e+09, 0, 0, 0, 1.19807
1.8059e+09, 0, 0, 0, 1.19932
1.8132e+09, 0, 0, 0, 1.20042
1.8205e+09, 0, 0, 0, 1.20165
1.8278e+09, 0, 0, 0, 1.20293
1.8351e+09, 0, 0, 0, 1.2047
1.8424e+09, 0, 0, 0, 1.20554
1.8497e+09, 0, 0, 0, 1.20628
1.857e+09, 0, 0, 0, 1.20708
1.8643e+09, 0, 0, 0, 1.20782
1.8716e+09, 0, 0, 0, 1.2083
1.8789e+09, 0, 0, 0, 1.20918
1.8862e+09, 0, 0, 0, 1.20993
1.8935e+09, 0, 0, 0, 1.21018
1.9008e+09, 0, 0, 0, 1.2104
1.9081e+09, 0, 0, 0, 1.21061
1.9154e+09, 0, 0, 0, 1.21093
1.9227e+09, 0, 0, 0, 1.21266
1.93e+09, 0, 0, 0, 1.2125
1.9373e+09, 0, 0, 0, 1.21227
1.9446e+09, 0, 0, 0, 1.2133
1.9519e+09, 0, 0, 0, 1.21202
1.9592e+09, 0, 0, 0, 1.21103
1.9665e+09, 0, 0, 0, 1.20958
1.9738e+09, 0, 0, 0, 1.20698
1.9811e+09, 0, 0, 0, 1.20479
1.9884e+09, 0, 0, 0, 1.20299
1.9957e+09, 0, 0, 0, 1.20042
2.003e+09, 0, 0, 0, 1.19876
2.0103e+09, 0, 0, 0, 1.20086
2.0176e+09, 0, 0, 0, 1.20145
2.0249e+09, 0, 0, 0, 1.20151
2.0322e+09, 0, 0, 0, 1.203
2.0395e+09, 0, 0, 0, 1.20357
2.0468e+09, 0, 0, 0, 1.20397
2.0541e+09, 0, 0, 0, 1.20444
2.0614e+09, 0, 0, 0, 1.20506
2.0687e+09, 0, 0, 0, 1.20583
2.076e+09, 0, 0, 0, 1.2062
2.0833e+09, 0, 0, 0, 1.20637
2.0906e+09, 0, 0, 0, 1.20522
2.0979e+09, 0, 0, 0, 1.20563
2.1052e+09, 0, 0, 0, 1.20645
2.1125e+09, 0, 0, 0, 1.20655
2.1198e+09, 0, 0, 0, 1.20677
2.1271e+09, 0, 0, 0, 1.20684
2.1344e+09, 0, 0, 0, 1.20751
2.1417e+09, 0, 0, 0, 1.20779
2.149e+09, 0, 0, 0, 1.20817
2.1563e+09, 0, 0, 0, 1.20839
2.1636e+09, 0, 0, 0, 1.20719
2.1709e+09, 0, 0, 0, 1.20771
2.1782e+09, 0, 0, 0, 1.20841
2.1855e+09, 0, 0, 0, 1.20884
2.1928e+09, 0, 0, 0, 1.20905
2.2001e+09, 0, 0, 0, 1.20911
2.2074e+09, 0, 0, 0, 1.20924
2.2147e+09, 0, 0, 0, 1.20954
2.222e+09, 0, 0, 0, 1.2095
