name, RX Frontend Calibration
serial, F592F9
timestamp, 1454426259
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, -0.0411523, -0.298887, 90.1285, 67.7245
4.07302e+08, -0.0420668, -0.309556, 83.3194, 61.2112
4.14599e+08, -0.0438957, -0.318244, 90.2972, 68.4345
4.21901e+08, -0.0457247, -0.326017, 92.7369, 71.0749
4.29198e+08, -0.046182, -0.331962, 103.301, 81.7909
4.365e+08, -0.048011, -0.336991, 86.6405, 65.2743
4.43801e+08, -0.0483158, -0.342631, 93.6767, 72.4463
4.51099e+08, -0.0487731, -0.345374, 83.634, 62.4631
4.584e+08, -0.0492303, -0.345527, 89.6909, 68.5339
4.657e+08, -0.0483158, -0.343088, 87.1295, 65.9143
4.73001e+08, -0.046182, -0.338363, 95.4523, 74.0998
4.80298e+08, -0.0452675, -0.331962, 89.6365, 68.1436
4.876e+08, -0.0449627, -0.327694, 80.5482, 58.9271
4.94901e+08, -0.0426764, -0.321902, 87.1241, 65.3027
5.02198e+08, -0.0399329, -0.308337, 90.1339, 67.9631
5.09499e+08, -0.0353605, -0.288218, 87.8502, 65.09
5.16801e+08, -0.0278921, -0.254687, 87.988, 64.1055
5.24098e+08, -0.0192044, -0.200274, 89.0615, 63.0529
5.31399e+08, -0.0100594, -0.133516, 82.3786, 52.8498
5.38701e+08, -0.00243865, -0.0730072, 92.9466, 58.1901
5.46002e+08, 0.00182899, -0.0329218, 87.8735, 46.2668
5.53299e+08, 0.00274348, -0.0123457, 86.8296, 36.1085
5.60601e+08, 0.00350556, -0.000304832, 93.6009, 34.4829
5.67902e+08, 0.00411523, 0.00594422, 95.4024, 41.3775
5.75201e+08, 0.00457247, 0.0105167, 100.544, 50.0013
5.82503e+08, 0.00457247, 0.00990703, 87.3523, 35.899
5.89799e+08, 0.00518214, 0.0138698, 90.8805, 42.0521
5.971e+08, 0.00518214, 0.0225575, 94.6392, 49.6777
6.04402e+08, 0.00563938, 0.0323121, 92.5168, 50.7882
6.11697e+08, 0.00655388, 0.0428288, 91.0217, 51.6813
6.18999e+08, 0.00685871, 0.0539552, 101.291, 63.8515
6.263e+08, 0.00716354, 0.0627953, 92.8528, 56.8116
6.33602e+08, 0.00731596, 0.0710258, 90.8125, 55.8707
6.40897e+08, 0.00731596, 0.0778845, 83.9734, 49.8227
6.48199e+08, 0.00807804, 0.0829142, 92.3812, 58.7612
6.55501e+08, 0.00777321, 0.0865722, 88.2892, 54.9982
6.62802e+08, 0.00792562, 0.0870294, 89.8406, 56.6667
6.70098e+08, 0.00792562, 0.085048, 93.8859, 60.4548
6.77399e+08, 0.00792562, 0.0819997, 92.776, 58.9821
6.84701e+08, 0.00762079, 0.0783417, 92.3216, 58.1548
6.92002e+08, 0.00746837, 0.0728547, 86.6011, 51.8862
6.99298e+08, 0.00716354, 0.0682823, 88.9557, 53.6625
7.066e+08, 0.00731596, 0.0626429, 84.2138, 48.2184
7.13901e+08, 0.00685871, 0.0591373, 94.9569, 58.4684
7.21203e+08, 0.00655388, 0.0538028, 103.987, 66.6423
7.28498e+08, 0.00640146, 0.0484682, 87.7231, 49.5449
7.358e+08, 0.00685871, 0.044353, 101.407, 62.3624
7.43101e+08, 0.00655388, 0.0403902, 95.0895, 55.3221
7.50403e+08, 0.00655388, 0.0371895, 87.6697, 47.2316
7.57698e+08, 0.00655388, 0.034446, 87.8278, 46.5971
7.65e+08, 0.00609663, 0.0315501, 87.744, 45.8905
7.72302e+08, 0.00594422, 0.0297211, 93.7765, 51.4144
7.79597e+08, 0.00609663, 0.0277397, 86.9887, 44.1894
7.86899e+08, 0.00563938, 0.0268252, 84.3988, 41.1683
7.942e+08, 0.00640146, 0.0260631, 103.76, 60.2141
8.01502e+08, 0.00640146, 0.0254534, 88.3568, 44.7621
8.08797e+08, 0.00624905, 0.0257583, 104.292, 60.567
8.16099e+08, 0.00640146, 0.0260631, 88.1824, 44.507
8.234e+08, 0.00609663, 0.0248438, 91.4096, 47.5006
8.30702e+08, 0.00640146, 0.0224051, 88.4356, 43.7539
8.37998e+08, 0.00640146, 0.0182899, 86.2676, 40.0566
8.45299e+08, 0.00594422, 0.0137174, 98.0442, 49.2653
8.52601e+08, 0.00563938, 0.00990703, 88.0255, 36.8605
8.59902e+08, 0.00518214, 0.00731596, 93.9973, 41.0061
8.67198e+08, 0.00502972, 0.00594422, 91.4042, 37.1083
8.74499e+08, 0.00548697, 0.00457247, 88.222, 33.4125
8.81801e+08, 0.00548697, 0.00320073, 100.227, 44.1354
8.89103e+08, 0.00548697, 0.00137174, 88.4874, 30.4957
8.96398e+08, 0.00487731, -0.00106691, 83.5438, 25.2401
9.037e+08, 0.00502972, -0.00228624, 97.5396, 40.609
9.11001e+08, 0.00472489, -0.00457247, 97.9152, 42.4155
9.18303e+08, 0.00457247, -0.011736, 87.5379, 37.2124
9.25598e+08, 0.00381039, -0.019052, 89.5863, 43.3003
9.329e+08, 0.00396281, -0.021643, 91.3676, 45.9953
9.40201e+08, 0.00320073, -0.0233196, 93.9424, 49.4706
9.47497e+08, 0.00304832, -0.0249962, 100.851, 56.9605
9.54799e+08, 0.00335315, -0.0268252, 96.1814, 52.6252
9.621e+08, 0.0028959, -0.0274348, 95.6936, 52.4881
9.69402e+08, 0.00274348, -0.0280445, 91.2846, 48.2474
9.76697e+08, 0.00320073, -0.0281969, 93.4049, 50.5356
9.83999e+08, 0.0028959, -0.0281969, 93.5168, 50.6296
9.913e+08, 0.00304832, -0.0280445, 103.261, 60.2195
9.98602e+08, 0.00335315, -0.0272824, 98.3862, 55.0015
1.0059e+09, 0.00335315, -0.0262155, 86.8805, 43.3469
1.0132e+09, 0.00320073, -0.0254534, 92.4624, 48.583
1.0205e+09, 0.00320073, -0.0246914, 96.0613, 51.7659
1.0278e+09, 0.00381039, -0.023472, 91.0801, 46.5088
1.0351e+09, 0.00381039, -0.0225575, 89.7697, 44.7523
1.0424e+09, 0.00350556, -0.020881, 104.609, 59.2093
1.0497e+09, 0.00381039, -0.0199665, 107.874, 61.8987
1.057e+09, 0.00396281, -0.0196616, 88.9882, 43.1382
1.0643e+09, 0.00381039, -0.0205761, 105.112, 59.2797
1.0716e+09, 0.00396281, -0.0201189, 91.6718, 46.0593
1.0789e+09, 0.00381039, -0.0202713, 95.5481, 49.8779
1.0862e+09, 0.00411523, -0.0205761, 96.5752, 50.8792
1.0935e+09, 0.00411523, -0.0210334, 95.5242, 50.0973
1.1008e+09, 0.00411523, -0.0214906, 105.356, 60.0341
1.1081e+09, 0.00365798, -0.0214906, 103.618, 58.2577
1.1154e+09, 0.00396281, -0.0211858, 88.6235, 43.4966
1.1227e+09, 0.00411523, -0.0221003, 97.3655, 52.2035
1.13e+09, 0.00381039, -0.0224051, 90.1163, 45.0673
1.1373e+09, 0.00396281, -0.0221003, 89.5875, 44.6648
1.1446e+09, 0.00381039, -0.0225575, 92.4946, 47.6389
1.1519e+09, 0.00350556, -0.0224051, 93.3382, 48.4047
1.1592e+09, 0.00381039, -0.021643, 106.917, 61.6689
1.1665e+09, 0.00350556, -0.0199665, 88.9879, 43.1644
1.1738e+09, 0.00396281, -0.0179851, 87.2245, 40.7834
1.1811e+09, 0.00396281, -0.0166133, 97.7933, 50.3638
1.1884e+09, 0.00411523, -0.0152416, 106.555, 58.6179
1.1957e+09, 0.00426764, -0.0144795, 93.4781, 45.1448
1.203e+09, 0.00472489, -0.013565, 89.4088, 40.5789
1.2103e+09, 0.00472489, -0.0124981, 87.3476, 37.5793
1.2176e+09, 0.00457247, -0.0114312, 86.4673, 35.8044
1.2249e+09, 0.00487731, -0.00914495, 96.6217, 45.3054
1.2322e+09, 0.00472489, -0.00746837, 88.6738, 35.6274
1.2395e+09, 0.00518214, -0.00563938, 107.499, 52.6817
1.2468e+09, 0.00518214, -0.00304832, 91.8652, 35.1228
1.2541e+09, 0.00548697, -0.000457247, 92.0599, 34.805
1.2614e+09, 0.00594422, 0.00304832, 89.0352, 32.9175
1.2687e+09, 0.00609663, 0.00670629, 90.2354, 36.8833
1.276e+09, 0.0057918, 0.0114312, 100.688, 50.8672
1.2833e+09, 0.00655388, 0.0170706, 95.8102, 49.1341
1.2906e+09, 0.00701113, 0.0236244, 98.0125, 53.8164
1.2979e+09, 0.00777321, 0.0275873, 97.1974, 54.3548
1.3052e+09, 0.00762079, 0.0320073, 93.9964, 52.3005
1.3125e+09, 0.00823045, 0.037037, 91.2371, 50.6644
1.3198e+09, 0.0086877, 0.0416095, 99.8747, 60.4622
1.3271e+09, 0.00853528, 0.0469441, 95.4479, 57.0687
1.3344e+09, 0.00838287, 0.0531931, 83.3815, 45.9245
1.3417e+09, 0.0086877, 0.0580704, 90.955, 54.2522
1.349e+09, 0.00807804, 0.0627953, 89.4839, 53.4363
1.3563e+09, 0.00823045, 0.0653864, 95.8071, 60.1757
1.3636e+09, 0.00853528, 0.0669105, 93.12, 57.6062
1.3709e+09, 0.00914495, 0.0666057, 86.7879, 51.2521
1.3782e+09, 0.0086877, 0.0658436, 91.9611, 56.2942
1.3855e+09, 0.0086877, 0.064167, 90.7991, 54.9525
1.3928e+09, 0.00899253, 0.0623381, 100.396, 64.3879
1.4001e+09, 0.00853528, 0.0603567, 93.6822, 57.3578
1.4074e+09, 0.00853528, 0.0586801, 100.798, 64.1827
1.4147e+09, 0.00777321, 0.0547173, 88.7125, 51.5191
1.422e+09, 0.00731596, 0.051669, 87.9692, 50.3106
1.4293e+09, 0.00762079, 0.0477061, 90.9462, 52.5696
1.4366e+09, 0.00731596, 0.0434385, 83.7853, 44.6418
1.4439e+09, 0.00731596, 0.0384088, 90.5301, 50.4458
1.4512e+09, 0.00685871, 0.0333791, 117.793, 76.4176
1.4585e+09, 0.00655388, 0.02713, 97.1423, 53.9179
1.4658e+09, 0.00655388, 0.0199665, 86.0388, 40.6316
1.4731e+09, 0.00640146, 0.0134126, 98.1199, 49.3418
1.4804e+09, 0.00594422, 0.00640146, 89.3757, 35.8917
1.4877e+09, 0.00548697, -1.12323e-16, 96.4446, 39.2382
1.495e+09, 0.00487731, -0.00685871, 97.2815, 43.8655
1.5023e+09, -0.00259107, -0.0964792, 96.3929, 64.0533
1.5096e+09, -0.00243865, -0.100137, 93.8875, 61.8631
1.5169e+09, -0.00335315, -0.103948, 96.4756, 64.7662
1.5242e+09, -0.00396281, -0.106843, 83.7732, 52.3086
1.5315e+09, -0.00350556, -0.110349, 93.5108, 62.3069
1.5388e+09, -0.00411523, -0.113855, 97.0987, 66.1396
1.5461e+09, -0.00487731, -0.116903, 91.4816, 60.7985
1.5534e+09, -0.00487731, -0.119342, 90.9633, 60.4861
1.5607e+09, -0.00518214, -0.122237, 96.435, 66.1612
1.568e+09, -0.00594422, -0.124829, 95.388, 65.2783
1.5753e+09, -0.0057918, -0.127877, 94.6724, 64.7608
1.5826e+09, -0.00640146, -0.129706, 93.108, 63.3455
1.5899e+09, -0.00640146, -0.131992, 92.9625, 63.3513
1.5972e+09, -0.00685871, -0.133669, 95.3045, 65.82
1.6045e+09, -0.00716354, -0.134888, 93.9569, 64.5267
1.6118e+09, -0.00716354, -0.13626, 96.5015, 67.1456
1.6191e+09, -0.00716354, -0.136565, 89.4261, 60.0934
1.6264e+09, -0.00746837, -0.136412, 93.232, 63.9155
1.6337e+09, -0.00701113, -0.136107, 93.8028, 64.4473
1.641e+09, -0.00701113, -0.134583, 90.3676, 60.914
1.6483e+09, -0.00670629, -0.131687, 88.5987, 58.9802
1.6556e+09, -0.00655388, -0.128791, 105.502, 75.6717
1.6629e+09, -0.00624905, -0.124829, 88.2942, 58.1815
1.6702e+09, -0.0057918, -0.121323, 90.5122, 60.1568
1.6775e+09, -0.00502972, -0.11797, 82.1279, 51.5126
1.6848e+09, -0.00442006, -0.114007, 101.093, 70.1634
1.6921e+09, -0.00457247, -0.110654, 86.6388, 55.4365
1.6994e+09, -0.00442006, -0.107148, 90.7559, 59.2892
1.7067e+09, -0.00350556, -0.10349, 93.7499, 61.9869
1.714e+09, -0.00304832, -0.100899, 83.1005, 51.1206
1.7213e+09, -0.00274348, -0.0976985, 94.8195, 62.5722
1.7286e+09, -0.0028959, -0.0948026, 95.0948, 62.6189
1.7359e+09, -0.00243865, -0.0920591, 86.5944, 53.8287
1.7432e+09, -0.00198141, -0.0899253, 91.4192, 58.4672
1.7505e+09, -0.00182899, -0.0877915, 92.1501, 58.9271
1.7578e+09, -0.00137174, -0.0855053, 86.8196, 53.4201
1.7651e+09, -0.00137174, -0.0835239, 90.5568, 56.9378
1.7724e+09, -0.00137174, -0.0809328, 92.7368, 58.8491
