name, RX Frontend Calibration
serial, F5942E
timestamp, 1454421347
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, -0.0408474, -0.2902, 87.7002, 65.0275
4.07302e+08, -0.0420668, -0.297668, 87.987, 65.5549
4.14599e+08, -0.0426764, -0.304222, 91.868, 69.5866
4.21901e+08, -0.0434385, -0.307575, 91.1699, 68.9871
4.29198e+08, -0.0432861, -0.309861, 84.1026, 61.9831
4.365e+08, -0.0426764, -0.309861, 94.7255, 72.618
4.43801e+08, -0.0434385, -0.311385, 92.3274, 70.2493
4.51099e+08, -0.0429813, -0.312757, 98.2316, 76.2039
4.584e+08, -0.042524, -0.312757, 91.6582, 69.6305
4.657e+08, -0.0416095, -0.309556, 87.3326, 65.2094
4.73001e+08, -0.0405426, -0.306203, 87.7459, 65.5287
4.80298e+08, -0.0405426, -0.302545, 93.2278, 70.8983
4.876e+08, -0.0384088, -0.297516, 97.5019, 75.0243
4.94901e+08, -0.0373419, -0.289285, 95.8696, 73.1265
5.02198e+08, -0.0327694, -0.271757, 86.8517, 63.5819
5.09499e+08, -0.028959, -0.246304, 91.1287, 66.9752
5.16801e+08, -0.0210334, -0.200732, 80.4015, 54.5243
5.24098e+08, -0.0118884, -0.137174, 88.9733, 59.7075
5.31399e+08, -0.00365798, -0.0672154, 103.292, 67.8207
5.38701e+08, 0.00121933, -0.0173754, 92.7386, 46.0248
5.46002e+08, 0.00182899, 0.00502972, 91.3313, 34.3066
5.53299e+08, 0.00304832, 0.0129553, 87.0236, 37.6356
5.60601e+08, 0.00274348, 0.0134126, 88.5718, 39.876
5.67902e+08, 0.0028959, 0.0134126, 86.601, 37.5614
5.75201e+08, 0.00335315, 0.0108215, 92.2074, 41.5376
5.82503e+08, 0.00320073, 0.0100594, 100.819, 49.3222
5.89799e+08, 0.00335315, 0.0164609, 91.6195, 44.1561
5.971e+08, 0.00411523, 0.0283493, 90.3824, 47.3184
6.04402e+08, 0.00457247, 0.0384088, 101.542, 61.2526
6.11697e+08, 0.00502972, 0.0481634, 92.6078, 54.2794
6.18999e+08, 0.00548697, 0.0594422, 94.4793, 57.846
6.263e+08, 0.00563938, 0.0691968, 84.5263, 49.3326
6.33602e+08, 0.00594422, 0.0768176, 90.8236, 56.5066
6.40897e+08, 0.00655388, 0.0829142, 89.3424, 55.6503
6.48199e+08, 0.00655388, 0.0859625, 88.9916, 55.6409
6.55501e+08, 0.00640146, 0.0865722, 104.232, 70.8969
6.62802e+08, 0.00624905, 0.0848956, 100.573, 67.1103
6.70098e+08, 0.00670629, 0.0824569, 95.0758, 61.3394
6.77399e+08, 0.00624905, 0.0778845, 87.1485, 52.9638
6.84701e+08, 0.00640146, 0.0745313, 90.4271, 55.8659
6.92002e+08, 0.00594422, 0.069654, 90.0621, 54.9769
6.99298e+08, 0.00609663, 0.0656912, 111.324, 75.6566
7.066e+08, 0.00594422, 0.0609663, 85.0848, 48.813
7.13901e+08, 0.0057918, 0.0582228, 85.9617, 49.349
7.21203e+08, 0.00548697, 0.0548697, 88.7935, 51.5047
7.28498e+08, 0.00518214, 0.04984, 91.9872, 53.98
