name, TX Frontend Calibration
serial, F59193
timestamp, 1454427108
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0.0394757, -0.508764, -51.2248, 19.5148
1.2073e+09, -0.0368846, 0.011736, -93.1391, 50.1304
1.2146e+09, -0.0323121, 0.00944978, -92.715, 49.7073
1.2219e+09, -0.00746837, 0.00670629, -91.1839, 40.9061
1.2292e+09, 0.156683, 0.271605, -92.377, 41.1893
1.2365e+09, -0.0156988, -0.00609663, -96.0095, 49.4388
1.2438e+09, -0.0164609, 0.00411523, -96.6395, 44.2501
1.2511e+09, -0.0265203, -0.0242341, -95.7063, 49.9709
1.2584e+09, -0.0187471, -0.0210334, -90.6202, 41.6106
1.2657e+09, -0.00228624, 0.00137174, -94.2317, 26.4956
1.273e+09, -0.0265203, -0.00640146, -94.2048, 39.3792
1.2803e+09, -0.0196616, -0.00274348, -97.7563, 39.942
1.2876e+09, -0.00670629, -0.0309404, -91.6764, 39.8992
1.2949e+09, -0.0233196, -0.0150892, -91.1275, 42.1117
1.3022e+09, -0.0221003, -0.00914495, -91.1246, 42.0497
1.3095e+09, -0.0146319, -0.00746837, -99.3119, 45.728
1.3168e+09, -0.0330742, 0.0272824, -101.764, 58.1093
1.3241e+09, -0.0198141, -0.0217955, -85.0088, 35.6793
1.3314e+09, 0.0288066, -0.169182, -88.7451, 42.1856
1.3387e+09, -0.0219479, -0.0132602, -106.073, 57.673
1.346e+09, -0.0120408, 0.000152416, -90.4514, 32.7494
1.3533e+09, -0.0184423, 0.02271, -79.079, 27.3532
1.3606e+09, -0.0228624, 0.00243865, -103.282, 60.5795
1.3679e+09, -0.0198141, -1.12161e-16, -93.5711, 53.0885
1.3752e+09, -0.0164609, -0.00502972, -83.7566, 41.5923
1.3825e+09, -0.0137174, -0.0086877, -106.545, 62.5466
1.3898e+09, -0.0131078, -0.00807804, -88.8052, 41.7406
1.3971e+09, -0.0123457, -0.00411523, -77.9977, 27.7403
1.4044e+09, -0.0105167, -0.000914495, -88.81, 26.3515
1.4117e+09, -0.0411523, -0.00365798, -101.869, 50.0515
1.419e+09, -0.0283493, -0.000457247, -97.0187, 48.9195
