name, TX Frontend Calibration
serial, F591A4
timestamp, 1454429251
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0.851852, -0.185185, -63.9929, 25.6109
1.2073e+09, -0.044353, 0.0195092, -96.7984, 52.0683
1.2146e+09, -0.0342936, 0.0141747, -101.979, 56.5621
1.2219e+09, 0.130925, 0.131382, -81.6965, 25.7654
1.2292e+09, -0.0248438, 0.00396281, -100.333, 52.6448
1.2365e+09, -0.0192044, 0.00137174, -96.31, 45.1941
1.2438e+09, -0.0239293, 0.00731596, -98.1101, 44.6551
1.2511e+09, -0.0292638, -0.0336839, -76.6739, 25.3828
1.2584e+09, -0.0192044, -0.0219479, -104.914, 51.6037
1.2657e+09, -0.0123457, -0.0315501, -94.3723, 41.1371
1.273e+09, -0.0399329, -0.00152416, -102.318, 38.3977
1.2803e+09, -0.0274348, 0.00137174, -103.096, 41.8051
1.2876e+09, -0.00365798, -0.0103643, -95.6216, 27.9999
1.2949e+09, -0.0126505, -0.0143271, -107.015, 47.8715
1.3022e+09, -0.0160037, -0.0118884, -99.1259, 41.137
1.3095e+09, -0.0126505, -0.00853528, -117.304, 56.6062
1.3168e+09, -0.00685871, -0.0105167, -114.793, 52.169
1.3241e+09, -0.0173754, -0.0201189, -109.755, 45.1454
1.3314e+09, -0.00731596, -0.0160037, -100.656, 33.7694
1.3387e+09, -0.00777321, -0.0138698, -107.867, 47.7085
1.346e+09, -0.0128029, -0.00396281, -107.376, 48.0943
1.3533e+09, -0.0205761, -1.30104e-18, -94.9433, 40.7097
1.3606e+09, -0.0211858, 0.00137174, -94.0743, 44.084
1.3679e+09, -0.0199665, -0.00137174, -88.6637, 40.8528
1.3752e+09, -0.0202713, -0.00701113, -97.1531, 49.4262
1.3825e+09, -0.0199665, -0.0103643, -115.581, 67.2748
1.3898e+09, -0.0233196, -0.0100594, -94.308, 46.0152
1.3971e+09, -0.0211858, -0.00990703, -87.6893, 36.1437
1.4044e+09, -0.0124981, -0.0112788, -92.5848, 33.1087
1.4117e+09, 0.0249962, -0.00274348, -97.1428, 34.1183
1.419e+09, 0.0313977, 0.0167657, -97.9839, 31.6045
1.4263e+09, -0.0123457, -0.013565, -99.7486, 32.028
1.4336e+09, -0.0192044, -0.0205761, -92.4704, 32.1279
1.4409e+09, -0.0217955, 0.000609663, -66.2214, 11.1373
1.4482e+09, -0.0160037, -0.042524, -78.1338, 23.6497
1.4555e+09, -0.000304832, -0.0120408, -94.3597, 27.9947
1.4628e+09, 0.0118884, 0.0242341, -71.4206, 6.18239
1.4701e+09, -0.00304832, -0.00396281, -94.4175, 16.3741
1.4774e+09, -0.0118884, -0.0158512, -103.49, 42.9148
1.4847e+09, -0.020881, -0.00853528, -103.844, 44.8711
1.492e+09, -0.0224051, -0.00594422, -90.8936, 34.7094
1.4993e+09, -0.0224051, -0.000914495, -94.6626, 39.3618
1.5066e+09, -0.0263679, 0.0121933, -112.549, 56.9895
1.5139e+09, -0.0240817, 0.00929736, -91.9134, 36.6767
1.5212e+09, -0.0294162, 0.0141747, -89.8306, 33.9851
1.5285e+09, 0.0169182, 0.0681299, -98.8891, 42.0063
1.5358e+09, 0.0237769, -0.0114312, -109.183, 48.9034
1.5431e+09, 0.00472489, 0.00396281, -102.919, 36.4184
1.5504e+09, -0.00746837, 0.00624905, -96.7488, 34.0971
1.5577e+09, -0.088706, 0.00320073, -85.3574, 21.2944
1.565e+09, -0.00243865, 0.00548697, -104.144, 37.0971
1.5723e+09, -0.00274348, -0.104252, -103.545, 43.8415
1.5796e+09, -0.00823045, 0.00213382, -95.3972, 35.9034
1.5869e+09, -0.0105167, 0.00228624, -98.4206, 35.2155
1.5942e+09, -0.00411523, -0.00274348, -92.1209, 21.4732
1.6015e+09, 0.0501448, 0.0225575, -84.8698, 24.6843
1.6088e+09, -0.0132602, 0.00457247, -66.7515, 6.04404
1.6161e+09, 0.00137174, 0.00731596, -101.467, 40.3264
1.6234e+09, -0.00777321, -0.00228624, -94.2494, 31.0971
1.6307e+09, -0.00823045, -0.00137174, -98.8446, 36.0422
