name, TX Frontend Calibration
serial, F591C5
timestamp, 1454425206
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, -0.0716354, 0.145709, -67.0722, 32.1837
1.2073e+09, -0.036275, 0.0158512, -95.7911, 52.489
1.2146e+09, -0.0301783, 0.00929736, -88.3001, 46.9832
1.2219e+09, 0.00274348, 0.037037, -109.448, 65.0439
1.2292e+09, -0.0164609, -0.000762079, -90.7792, 47.3706
1.2365e+09, -0.0150892, -0.00182899, -93.8645, 45.605
1.2438e+09, -0.013565, 0.0115836, -105.129, 51.3283
1.2511e+09, -0.0327694, -0.0291114, -88.6958, 40.1742
1.2584e+09, -0.0330742, -0.0188996, -98.1302, 54.0711
1.2657e+09, -0.0239293, -0.0163085, -96.3439, 50.8613
1.273e+09, -0.0245389, -0.0132602, -92.5504, 43.9947
1.2803e+09, -0.0402378, 0.0100594, -94.3166, 42.5931
1.2876e+09, -0.0028959, -0.00792562, -94.3467, 33.2424
1.2949e+09, -0.00396281, -0.000609663, -91.1479, 25.9081
1.3022e+09, -0.00365798, -0.00701113, -104.798, 45.6258
1.3095e+09, 0.00685871, -0.0534979, -99.568, 50.9161
1.3168e+09, -0.00746837, -0.015394, -95.1557, 42.7287
1.3241e+09, -0.00213382, -0.0182899, -92.0899, 38.1403
1.3314e+09, 0.00213382, -0.00807804, -107.772, 48.2263
1.3387e+09, -0.00396281, -0.00762079, -85.1756, 28.4452
1.346e+09, -0.00990703, -0.00274348, -97.2447, 40.3733
1.3533e+09, -0.0240817, 0.000762079, -92.34, 47.6991
1.3606e+09, -0.0230148, -1.24683e-18, -89.9096, 48.4736
1.3679e+09, -0.021643, -0.00152416, -91.4949, 50.6384
1.3752e+09, -0.0176802, -0.00716354, -83.799, 41.0144
1.3825e+09, -0.0141747, -0.00884012, -93.9661, 48.5528
1.3898e+09, -0.0158512, -0.00487731, -92.3616, 45.5481
1.3971e+09, -0.0146319, -0.00137174, -82.2353, 33.0968
1.4044e+09, -0.0150892, 0.00381039, -83.3886, 30.7925
1.4117e+09, -0.0210334, 0.0105167, -96.4745, 50.1235
1.419e+09, -0.0256059, 0.00914495, -87.092, 41.5944
1.4263e+09, -0.0254534, 0.0140223, -99.4885, 52.5844
1.4336e+09, -0.0131078, 0.0204237, -96.9199, 44.2871
1.4409e+09, -0.0355129, -0.0300259, -96.1963, 47.699
1.4482e+09, 0.126658, 0.122695, -96.2001, 43.5084
1.4555e+09, -1.12757e-16, -0.0164609, -89.528, 35.8003
1.4628e+09, -0.0134126, -0.00655388, -74.032, 22.2113
1.4701e+09, -0.0301783, -0.00274348, -95.7619, 41.7005
1.4774e+09, -0.02271, -0.0106691, -93.2426, 42.1942
1.4847e+09, -0.0246914, -0.00411523, -85.4609, 37.3395
1.492e+09, -0.0256059, -0.000914495, -99.7884, 53.8128
1.4993e+09, -0.0228624, 0.00182899, -94.5841, 49.1437
1.5066e+09, -0.0265203, 0.0115836, -88.1125, 43.2392
1.5139e+09, -0.0324646, 0.00914495, -97.9636, 53.3459
1.5212e+09, -0.0379515, -0.000914495, -90.4797, 44.7583
1.5285e+09, 0.02271, 0.0536504, -100.547, 51.7045
1.5358e+09, -0.00731596, 0.0306356, -88.9474, 39.4775
1.5431e+09, -0.124829, -0.0224051, -58.174, 11.39
1.5504e+09, 0.00182899, 0.0188996, -99.9497, 50.2294
1.5577e+09, -0.00640146, 0.0239293, -93.3572, 44.1641
1.565e+09, -0.0292638, 0.00746837, -104.74, 49.0303
1.5723e+09, -0.00396281, 0.00213382, -103.001, 34.8422
1.5796e+09, -0.00381039, 0.00182899, -88.5968, 28.1326
1.5869e+09, -0.00670629, 0.00533455, -91.725, 35.2917
1.5942e+09, 0.0373419, 0.0874867, -95.2632, 46.3135
1.6015e+09, 0.0617284, 0.0384088, -58.8277, 10.1442
1.6088e+09, 0.0695016, 0.0452675, -95.0213, 44.1421
1.6161e+09, -0.0114312, 0.0146319, -85.6504, 39.174
1.6234e+09, -0.00823045, 0.0123457, -98.7046, 49.2268
1.6307e+09, -0.00624905, 0.00899253, -105.557, 53.5877
1.638e+09, -0.0109739, -1.12269e-16, -108.103, 56.9758
1.6453e+09, -0.00929736, -0.000304832, -92.1499, 41.9882
1.6526e+09, -0.00960219, -0.000914495, -96.6592, 47.127
1.6599e+09, -0.0100594, 0.000152416, -85.1881, 36.0455
1.6672e+09, -0.00853528, -0.000609663, -87.6358, 37.9972
1.6745e+09, -0.00792562, -0.00152416, -83.1704, 32.4598
1.6818e+09, -0.00731596, -0.00228624, -94.3062, 43.2066
1.6891e+09, -0.00624905, -0.00243865, -84.89, 31.4336
1.6964e+09, -0.00685871, -0.00274348, -86.6368, 31.6045
1.7037e+09, -0.00563938, -0.00198141, -86.1383, 24.7162
1.711e+09, -0.00655388, -0.00137174, -86.6044, 27.3255
1.7183e+09, 0.00548697, 0.00274348, -72.6502, 3.49835
1.7256e+09, -0.00823045, 0.0169182, -84.5725, 27.6495
1.7329e+09, -0.00624905, 0.0522786, -70.3424, 14.708
1.7402e+09, -0.0156988, 0.0387136, -71.0247, 15.8934
1.7475e+09, -0.0205761, 0.0123457, -90.3252, 35.4805
1.7548e+09, -0.0121933, -0.0124981, -94.188, 38.5658
1.7621e+09, -0.0086877, -0.0132602, -98.6509, 43.4658
1.7694e+09, -0.0115836, -0.00518214, -87.7469, 31.8697
1.7767e+09, -0.0120408, -0.000304832, -91.1821, 35.7763
1.784e+09, -0.0118884, -0.00137174, -88.4567, 32.4494
1.7913e+09, -0.0109739, -0.00152416, -91.8474, 35.9552
1.7986e+09, -0.00914495, -0.00320073, -85.7437, 30.8694
1.8059e+09, -0.00838287, -0.00304832, -93.4003, 38.5877
1.8132e+09, -0.00838287, -0.00259107, -88.6998, 33.9109
1.8205e+09, -0.00884012, -0.00167657, -78.6624, 21.9933
1.8278e+09, -0.00548697, -1.30104e-18, -97.5929, 39.8566
1.8351e+09, -0.00838287, -0.000152416, -86.9787, 34.3351
1.8424e+09, -0.0103643, -0.000152416, -90.2304, 40.2091
