name, TX Frontend Calibration
serial, F591CE
timestamp, 1454431042
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0.352538, -0.378601, -56.5335, 13.4138
1.2073e+09, -0.0376467, 0.021643, -104.843, 61.9491
1.2146e+09, -0.0304832, 0.0176802, -93.1396, 49.5911
1.2219e+09, -0.023472, 0.0140223, -100.426, 54.4307
1.2292e+09, -0.0214906, 0.00914495, -93.1593, 45.2877
1.2365e+09, -0.0201189, 0.00731596, -97.2848, 47.4813
1.2438e+09, -0.0240817, 0.017223, -91.9375, 38.7435
1.2511e+09, -0.0397805, -0.0274348, -97.0833, 44.6945
1.2584e+09, -0.0199665, -0.0181375, -91.9645, 37.3958
1.2657e+09, -0.0338363, -0.00990703, -106.667, 44.5588
1.273e+09, -0.0292638, -0.00228624, -97.496, 24.3727
1.2803e+09, -0.0112788, 0.00213382, -106.18, 42.1809
1.2876e+09, -0.00960219, 0.00609663, -111.524, 45.5319
1.2949e+09, -0.0118884, -0.00746837, -93.7145, 32.5758
1.3022e+09, -0.017223, -0.0109739, -105.947, 47.2251
1.3095e+09, -0.0155464, -0.00838287, -108.502, 46.6251
1.3168e+09, -0.0132602, -0.0086877, -112.889, 50.1696
1.3241e+09, -0.0106691, -0.00670629, -88.9828, 19.3178
1.3314e+09, -0.00944978, -0.00960219, -114.044, 43.4498
1.3387e+09, -0.196464, 0.121171, -82.9665, 23.7894
1.346e+09, -0.00365798, 0.00137174, -99.0898, 27.6007
1.3533e+09, -0.0152416, -0.000914495, -107.941, 54.3227
1.3606e+09, -0.0161561, -0.000914495, -89.7923, 39.2029
1.3679e+09, -0.0184423, -0.00213382, -98.8212, 48.8212
1.3752e+09, -0.0198141, -0.00335315, -94.1605, 45.9876
1.3825e+09, -0.0195092, -0.00335315, -99.0697, 50.1633
1.3898e+09, -0.0210334, -0.00274348, -86.1578, 38.6815
1.3971e+09, -0.0204237, -0.00152416, -91.0588, 44.8907
1.4044e+09, -0.0210334, -0.000304832, -89.6081, 43.8118
1.4117e+09, -0.0219479, -0.00274348, -93.7491, 47.1639
1.419e+09, -0.0196616, -0.00502972, -95.8118, 48.5921
1.4263e+09, -0.0161561, -0.00670629, -91.8052, 43.5183
1.4336e+09, -0.0155464, -0.00487731, -97.4907, 48.7073
1.4409e+09, -0.0152416, -0.00442006, -100.527, 51.6245
1.4482e+09, -0.0160037, -0.00228624, -91.3544, 42.122
1.4555e+09, -0.00594422, -0.00640146, -92.6386, 31.6945
1.4628e+09, -0.0028959, -0.00457247, -93.5769, 21.8917
1.4701e+09, -0.00899253, 0.00213382, -100.542, 36.7244
1.4774e+09, -0.013565, 0.0118884, -98.8088, 41.876
1.4847e+09, -0.0230148, 0.00167657, -92.9713, 40.1288
1.492e+09, -0.0211858, 0.00213382, -100.256, 45.1541
1.4993e+09, -0.0201189, 0.00594422, -100.971, 44.6991
1.5066e+09, -0.00685871, 0.00137174, -92.1322, 27.0508
1.5139e+09, -0.00457247, -0.00320073, -99.4993, 35.9683
1.5212e+09, -0.0108215, 0.00121933, -101.85, 41.7182
1.5285e+09, 0.00792562, 0.0263679, -108.249, 50.7708
1.5358e+09, 0.00685871, 0.00411523, -102.637, 38.0555
1.5431e+09, -0.00975461, 0.00792562, -102.793, 42.4457
1.5504e+09, 0.0141747, 0.00899253, -76.0365, 15.075
1.5577e+09, -0.013565, 0.00670629, -104.145, 44.3019
1.565e+09, -0.0134126, 0.00899253, -99.725, 36.9492
1.5723e+09, -0.0111264, 0.00899253, -100.562, 36.4292
1.5796e+09, -0.0124981, 0.00609663, -100.771, 45.55
1.5869e+09, -0.0149367, 0.0086877, -105.826, 50.2538
1.5942e+09, 0.04984, -0.0242341, -97.8329, 28.0227
1.6015e+09, -0.0438957, 0.00121933, -87.1364, 29.5574
1.6088e+09, -0.0173754, 0.00823045, -96.1712, 38.1821
1.6161e+09, -0.00350556, -0.0028959, -92.6311, 24.5406
1.6234e+09, -0.00548697, -0.00274348, -94.5742, 29.2618
1.6307e+09, 0.0303307, 0.0300259, -98.0511, 42.189
1.638e+09, 0.0309404, 0.0413047, -85.9265, 29.7981
1.6453e+09, 0.0246914, 0.0534979, -65.3233, 9.52683
1.6526e+09, -0.0320073, -0.0214906, -103.213, 48.4104
1.6599e+09, -0.00975461, 0.00944978, -98.7215, 39.4982
1.6672e+09, -0.0195092, 0.0131078, -97.1878, 39.8863
1.6745e+09, -0.0100594, 0.00685871, -94.7269, 35.0588
1.6818e+09, -0.0109739, 0.00518214, -91.7048, 33.265
1.6891e+09, -0.011736, 0.00152416, -97.8723, 39.5555
1.6964e+09, -0.0115836, -0.000304832, -89.8738, 33.1374
1.7037e+09, -0.011736, -0.00259107, -92.1197, 36.1916
1.711e+09, -0.0126505, -0.00335315, -95.6046, 39.3893
1.7183e+09, -0.013565, -0.00487731, -92.9289, 35.2332
1.7256e+09, -0.0196616, -0.00777321, -96.6585, 33.0626
1.7329e+09, -0.0160037, -0.00640146, -92.7588, 37.2192
1.7402e+09, -0.0198141, -0.00335315, -98.6368, 39.9492
1.7475e+09, -0.0129553, 0.00304832, -98.6031, 41.3166
1.7548e+09, -0.0143271, -0.0169182, -104.458, 42.0401
1.7621e+09, -0.000152416, -0.0336839, -85.2067, 23.0653
1.7694e+09, -0.00960219, -0.0109739, -100.968, 37.41
1.7767e+09, -0.0131078, -0.00121933, -99.2776, 36.8562
1.784e+09, -0.0131078, 0.000152416, -93.852, 31.2957
1.7913e+09, -0.0123457, 0.00274348, -96.4933, 32.0415
1.7986e+09, -0.0112788, 0.00259107, -94.3161, 29.9337
1.8059e+09, -0.0103643, 0.00198141, -96.0953, 34.2808
1.8132e+09, -0.00807804, 0.00121933, -91.7961, 30.0933
1.8205e+09, -0.00381039, 0.00259107, -90.2841, 22.8161
1.8278e+09, -0.00548697, 0.00548697, -91.4427, 29.0575
1.8351e+09, -0.00884012, 0.00335315, -90.1309, 30.3906
1.8424e+09, -0.0109739, 0.00274348, -88.7249, 32.468
1.8497e+09, -0.0123457, 0.00502972, -100.711, 46.4856
1.857e+09, -0.0129553, 0.00442006, -94.8838, 42.2534
1.8643e+09, -0.0137174, 0.00426764, -98.9711, 46.6615
1.8716e+09, -0.0163085, 0.00304832, -94.4252, 41.9557
1.8789e+09, -0.0156988, 0.00198141, -93.2321, 38.5182
1.8862e+09, -0.013565, 0.000762079, -92.9404, 36.8922
1.8935e+09, -0.0114312, -1.6263e-18, -106.733, 50.4874
1.9008e+09, -0.00990703, 0.00121933, -94.6209, 36.2197
1.9081e+09, -0.00701113, 0.000304832, -92.1343, 30.4744
1.9154e+09, -0.00685871, 0.00121933, -86.3104, 23.0162
1.9227e+09, -0.0057918, 0.00121933, -95.952, 33.8796
1.93e+09, -0.00640146, 0.00182899, -91.3512, 27.6823
1.9373e+09, -0.00548697, 0.00152416, -88.2718, 24.023
1.9446e+09, -0.00533455, 0.0028959, -93.7883, 29.306
1.9519e+09, -0.0057918, 0.00426764, -107.547, 44.1869
1.9592e+09, -0.00823045, 0.00502972, -103.457, 42.4624
1.9665e+09, -0.0086877, 0.00335315, -103.954, 40.5132
1.9738e+09, -0.0109739, 0.00274348, -97.9439, 36.0489
1.9811e+09, -0.0123457, 0.00228624, -101.432, 40.0289
1.9884e+09, -0.0137174, 0.00274348, -104.625, 42.4656
1.9957e+09, -0.0146319, 0.00259107, -114.801, 49.9024
2.003e+09, 0.0178326, 0.038866, -78.7372, 13.2912
2.0103e+09, -0.00243865, 0.00960219, -94.3916, 25.6919
2.0176e+09, 0.00792562, 0.00914495, -107.845, 40.8695
2.0249e+09, -0.0155464, 0.00502972, -103.985, 46.8027
2.0322e+09, -0.0144795, 0.00350556, -95.7029, 38.8914
2.0395e+09, -0.0131078, 0.00213382, -96.8519, 40.4266
2.0468e+09, -0.0120408, 0.00137174, -99.9823, 43.9167
2.0541e+09, -0.0118884, 0.000457247, -92.6822, 36.3423
2.0614e+09, -0.0105167, -1.10426e-16, -98.4404, 41.8689
2.0687e+09, -0.00944978, 0.000152416, -97.3941, 40.5592
2.076e+09, -0.00975461, 0.000609663, -94.8705, 38.6115
2.0833e+09, -0.00960219, 0.00228624, -94.7302, 37.5659
2.0906e+09, -0.0105167, 0.00243865, -90.9246, 33.8024
2.0979e+09, -0.0105167, 0.00228624, -94.8983, 39.0191
2.1052e+09, -0.0111264, 0.00121933, -90.8912, 36.191
2.1125e+09, -0.0114312, 0.00182899, -101.654, 47.7702
2.1198e+09, -0.0112788, 0.00106691, -94.9064, 41.9992
2.1271e+09, -0.011736, 0.00167657, -88.0787, 35.7876
2.1344e+09, -0.0114312, 0.00182899, -92.092, 40.1448
2.1417e+09, -0.0114312, 0.00198141, -101.203, 49.6554
2.149e+09, -0.0115836, 0.00243865, -102.963, 52.0843
2.1563e+09, -0.0115836, 0.00228624, -91.3385, 40.5329
2.1636e+09, -0.011736, 0.00274348, -91.3937, 40.1159
2.1709e+09, -0.0112788, 0.00228624, -93.2723, 41.6224
2.1782e+09, -0.0102119, 0.00228624, -93.5664, 41.6596
2.1855e+09, -0.0100594, 0.00182899, -92.6541, 40.099
2.1928e+09, -0.00990703, 0.00198141, -86.7258, 33.4841
2.2001e+09, -0.0100594, 0.00152416, -101.656, 47.3992
2.2074e+09, -0.0106691, 0.00213382, -99.6669, 46.0285
2.2147e+09, -0.0115836, 0.00259107, -95.2931, 41.859
2.222e+09, -0.0108215, 0.00457247, -98.0607, 47.1418
2.2293e+09, -0.0105167, 0.00457247, -89.4026, 40.1732
2.2366e+09, -0.00975461, 0.00411523, -95.8958, 46.4398
2.2439e+09, -0.0103643, 0.00304832, -85.3993, 35.758
2.2512e+09, -0.0106691, 0.00228624, -87.8075, 36.6372
2.2585e+09, -0.0100594, 0.00228624, -95.7717, 43.2817
2.2658e+09, -0.0109739, 0.00259107, -85.1593, 32.6018
2.2731e+09, -0.0112788, -0.000304832, -90.723, 38.2512
2.2804e+09, -0.00823045, -0.00121933, -89.5794, 33.5156
2.2877e+09, -0.00823045, 0.000152416, -93.3928, 36.9801
2.295e+09, -0.00777321, 0.000457247, -99.6058, 42.4033
2.3023e+09, -0.00914495, 0.000609663, -87.9675, 32.1809
2.3096e+09, -0.00823045, 0.000457247, -91.7505, 35.8368
2.3169e+09, -0.00899253, 0.000304832, -90.5672, 35.6305
2.3242e+09, -0.00914495, 0.000457247, -91.6068, 36.1945
2.3315e+09, -0.00853528, 0.000762079, -98.2176, 43.3186
2.3388e+09, -0.00838287, -0.000152416, -87.5811, 32.3907
2.3461e+09, -0.0086877, 0.000152416, -92.2967, 36.8273
2.3534e+09, -0.00823045, -1.12323e-16, -102.878, 47.7801
2.3607e+09, -0.00823045, -1.30104e-18, -92.7622, 37.4789
2.368e+09, -0.00838287, -1.13841e-18, -87.6146, 32.127
2.3753e+09, -0.00777321, 0.000457247, -96.5607, 40.0617
2.3826e+09, -0.00746837, 0.000609663, -88.4013, 31.3978
2.3899e+09, -0.00655388, 0.00121933, -94.1608, 35.1313
2.3972e+09, -0.00624905, 0.000914495, -115.369, 55.0763
2.4045e+09, -0.00594422, 0.000914495, -94.1185, 31.0398
2.4118e+09, -0.00487731, -0.000609663, -102.333, 35.8374
2.4191e+09, -0.00609663, -0.00350556, -105.592, 38.7639
2.4264e+09, -0.0114312, -0.00442006, -99.2078, 34.715
2.4337e+09, -0.0138698, 0.00152416, -103.143, 39.5517
2.441e+09, -0.0109739, 0.00274348, -105.07, 41.1094
2.4483e+09, -0.00929736, 0.00213382, -108.724, 44.8964
2.4556e+09, -0.00792562, 0.00106691, -103.955, 41.1023
2.4629e+09, -0.00731596, 0.000762079, -102.4, 39.0173
2.4702e+09, -0.00716354, -0.00121933, -86.0633, 22.8938
2.4775e+09, -0.00716354, -0.00167657, -97.7655, 36.4915
2.4848e+09, -0.00701113, -0.00167657, -91.8653, 31.3044
2.4921e+09, -0.00716354, -0.0028959, -96.7837, 37.0307
2.4994e+09, -0.00670629, -0.00304832, -99.6694, 41.0471
2.5067e+09, -0.00670629, -0.00350556, -113.077, 55.3283
2.514e+09, -0.00685871, -0.00396281, -91.8688, 35.2933
2.5213e+09, -0.00746837, -0.00396281, -93.7617, 37.4422
2.5286e+09, -0.00670629, -0.00472489, -88.8127, 32.8797
2.5359e+09, -0.00792562, -0.00457247, -91.6558, 36.2545
2.5432e+09, -0.00807804, -0.00457247, -94.3465, 38.842
2.5505e+09, -0.00823045, -0.00457247, -97.9594, 43.5324
2.5578e+09, -0.00777321, -0.00502972, -91.5998, 36.9186
2.5651e+09, -0.00884012, -0.00487731, -92.733, 38.2212
2.5724e+09, -0.0086877, -0.00502972, -93.9336, 39.6419
2.5797e+09, -0.00853528, -0.00457247, -90.1356, 36.0773
2.587e+09, -0.00929736, -0.00487731, -91.6943, 38.6697
2.5943e+09, -0.00960219, -0.00457247, -91.4207, 38.849
2.6016e+09, -0.0103643, -0.00533455, -107.621, 55.1595
2.6089e+09, -0.0106691, -0.00533455, -90.6177, 39.4741
2.6162e+09, -0.0105167, -0.00548697, -91.4502, 40.7662
2.6235e+09, -0.0105167, -0.00457247, -87.3065, 37.2668
2.6308e+09, -0.0109739, -0.00457247, -94.3214, 44.2396
2.6381e+09, -0.0102119, -0.00396281, -87.6021, 37.1763
2.6454e+09, -0.0109739, -0.00426764, -84.0832, 34.5272
2.6527e+09, -0.0115836, -0.00472489, -87.2279, 37.9769
2.66e+09, -0.0114312, -0.00548697, -84.6293, 34.8985
2.6673e+09, -0.0118884, -0.00533455, -93.9953, 43.9968
2.6746e+09, -0.0115836, -0.00487731, -92.5541, 42.8655
2.6819e+09, -0.0115836, -0.0057918, -84.5041, 35.2393
