name, TX Frontend Calibration
serial, F592D9
timestamp, 1454420746
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, -0.0393233, -0.00182899, -79.5654, 45.1579
4.07302e+08, -0.00823045, -0.0134126, -92.9173, 51.4696
4.14599e+08, -0.00792562, -0.0108215, -81.0728, 39.3023
4.21901e+08, -0.0086877, -0.00685871, -87.0636, 43.3919
4.29198e+08, -0.00807804, -0.00365798, -92.4971, 46.483
4.365e+08, -0.0100594, -1.19262e-18, -92.8767, 44.8399
4.43801e+08, -0.00914495, 0.00182899, -105.674, 57.3065
4.51099e+08, -0.00944978, 0.00106691, -86.8395, 38.459
4.584e+08, -0.00792562, 0.000914495, -91.1168, 42.9674
4.657e+08, -0.00838287, 0.00137174, -86.1754, 36.0814
4.73001e+08, -0.00746837, 0.00152416, -78.5558, 29.1421
4.80298e+08, -0.00746837, 0.00167657, -78.9889, 28.7262
4.876e+08, -0.00731596, 0.00137174, -85.9101, 35.154
4.94901e+08, -0.00609663, 0.00121933, -81.1854, 29.8631
5.02198e+08, -0.00624905, 0.000457247, -86.0877, 35.1405
5.09499e+08, -0.00548697, -1.19262e-18, -85.3492, 33.8903
5.16801e+08, -0.00487731, 0.000152416, -79.0384, 28.4247
5.24098e+08, -0.00487731, -1.12161e-16, -80.1011, 28.7895
5.31399e+08, -0.00548697, -1.12215e-16, -84.2235, 32.6607
5.38701e+08, -0.00502972, -1.6263e-18, -82.8232, 29.4276
5.46002e+08, -0.00426764, 0.000152416, -92.2964, 39.8022
5.53299e+08, -0.00381039, 0.000152416, -81.4039, 27.2208
5.60601e+08, -0.00396281, -0.000152416, -82.1901, 26.9282
5.67902e+08, -0.00304832, -0.000914495, -78.5844, 22.9398
5.75201e+08, -0.00320073, -0.000152416, -90.9765, 34.2587
5.82503e+08, -0.00320073, -0.000914495, -101.567, 45.7936
5.89799e+08, -0.00304832, -0.00152416, -94.3895, 36.6442
5.971e+08, -0.00304832, -0.00152416, -92.3214, 35.2062
6.04402e+08, -0.00274348, -0.00228624, -83.4765, 25.5323
6.11697e+08, -0.00259107, -0.00198141, -84.2063, 26.6413
6.18999e+08, -0.00274348, -0.00228624, -81.0269, 22.7612
6.263e+08, -0.00213382, -0.00304832, -85.1407, 24.8292
6.33602e+08, -0.00228624, -0.00228624, -103.128, 39.9003
6.40897e+08, -0.00228624, -0.00228624, -109.232, 44.8291
6.48199e+08, -0.00213382, -0.0028959, -113.247, 44.2752
6.55501e+08, -0.00274348, -0.00320073, -103.101, 34.594
6.62802e+08, -0.00320073, -0.00320073, -101.162, 37.4951
6.70098e+08, -0.00243865, -0.0028959, -97.1471, 36.2648
6.77399e+08, -0.00274348, -0.00274348, -92.4111, 33.3608
6.84701e+08, -0.00259107, -0.00274348, -78.2999, 21.9637
6.92002e+08, -0.00167657, -0.00335315, -87.5702, 34.0718
6.99298e+08, -0.00198141, -0.00121933, -68.0604, 13.2157
7.066e+08, -0.00243865, -0.00259107, -68.6462, 21.2571
7.13901e+08, -0.000457247, -0.000762079, -63.3411, 13.4015
7.21203e+08, -0.00320073, -0.00182899, -79.7257, 23.6675
7.28498e+08, -0.00228624, -0.000152416, -69.732, 24.3753
7.358e+08, -1.11022e-16, -1.11022e-16, -65.3651, 22.3779
7.43101e+08, -0.00365798, -0.00609663, -77.46, 26.6095
