name, TX Frontend Calibration
serial, F592F1
timestamp, 1454425496
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, -0.0313977, -0.0521262, -61.5451, 29.7438
4.07302e+08, -0.0105167, -0.00640146, -89.3635, 46.0707
4.14599e+08, -0.0114312, -0.00365798, -76.3259, 33.7236
4.21901e+08, -0.0137174, -1.1048e-16, -82.1268, 38.6815
4.29198e+08, -0.0150892, 0.00365798, -85.1203, 41.9429
4.365e+08, -0.017223, 0.00685871, -81.6639, 37.9558
4.43801e+08, -0.017223, 0.00884012, -80.1818, 36.8669
4.51099e+08, -0.0164609, 0.00777321, -85.2964, 42.0482
4.584e+08, -0.0146319, 0.00777321, -84.1212, 40.7009
4.657e+08, -0.0129553, 0.00746837, -85.8518, 40.5627
4.73001e+08, -0.0128029, 0.0086877, -83.0076, 38.4783
4.80298e+08, -0.0118884, 0.0086877, -74.143, 28.5941
4.876e+08, -0.011736, 0.00746837, -89.981, 44.6285
4.94901e+08, -0.0114312, 0.00777321, -84.2696, 38.5892
5.02198e+08, -0.0111264, 0.00655388, -85.6536, 39.1682
5.09499e+08, -0.0100594, 0.00594422, -98.5303, 52.781
5.16801e+08, -0.00960219, 0.00548697, -86.0276, 39.6631
5.24098e+08, -0.00944978, 0.00533455, -91.6546, 45.9174
5.31399e+08, -0.00960219, 0.00548697, -80.3808, 34.2545
5.38701e+08, -0.00914495, 0.00548697, -89.0934, 41.9608
5.46002e+08, -0.00823045, 0.00548697, -82.1673, 35.7316
5.53299e+08, -0.00777321, 0.00502972, -89.5548, 42.0713
5.60601e+08, -0.00762079, 0.00426764, -94.5789, 46.1683
5.67902e+08, -0.00640146, 0.00411523, -117.287, 68.6876
5.75201e+08, -0.00670629, 0.00396281, -83.5818, 34.5092
5.82503e+08, -0.00640146, 0.00365798, -88.1243, 38.8262
5.89799e+08, -0.00594422, 0.00335315, -84.748, 34.5138
5.971e+08, -0.00548697, 0.00274348, -85.839, 35.3867
6.04402e+08, -0.00563938, 0.00259107, -83.8501, 32.6078
6.11697e+08, -0.00502972, 0.00243865, -97.9536, 44.9987
6.18999e+08, -0.00548697, 0.00228624, -88.3768, 34.3356
6.263e+08, -0.00502972, 0.00259107, -117.338, 62.5107
6.33602e+08, -0.00426764, 0.00198141, -88.5973, 31.2037
6.40897e+08, -0.00442006, 0.00213382, -92.1501, 32.2569
6.48199e+08, -0.00442006, 0.00259107, -97.9964, 34.7101
6.55501e+08, -0.00518214, 0.00137174, -112.64, 44.9975
6.62802e+08, -0.00594422, 0.00137174, -122.196, 57.9632
6.70098e+08, -0.00548697, 0.00274348, -96.7752, 37.0387
6.77399e+08, -0.00533455, 0.00274348, -98.8937, 42.9755
6.84701e+08, -0.00472489, 0.00274348, -87.0973, 34.4072
6.92002e+08, -0.00411523, 0.00274348, -90.3308, 39.2057
6.99298e+08, -0.00457247, 0.00152416, -79.7772, 29.1951
7.066e+08, -0.00685871, -1.30104e-18, -73.3834, 26.7037
7.13901e+08, -0.0028959, 0.00259107, -73.1805, 25.6849
7.21203e+08, -0.00548697, 0.00274348, -66.4551, 15.8085
7.28498e+08, -0.00548697, 0.00548697, -74.9095, 23.4393
7.358e+08, -0.0124981, -1.10968e-16, -71.9347, 18.4163
7.43101e+08, -0.00411523, -1.12757e-16, -63.9361, 17.3775
7.50403e+08, -0.000914495, 0.00731596, -63.5983, 21.6226
7.57698e+08, -0.00655388, 0.00472489, -68.7687, 24.0905
7.65e+08, -0.00685871, 0.00594422, -65.6804, 23.8839
7.72302e+08, -0.0112788, 0.011736, -54.1444, 10.7
7.79597e+08, -0.00807804, 0.00106691, -66.8076, 21.6223
7.86899e+08, -0.00640146, 0.00548697, -75.8699, 36.0828
7.942e+08, -0.00548697, 0.00228624, -65.965, 23.73
8.01502e+08, -0.00502972, 0.00228624, -64.763, 25.6349
8.08797e+08, -0.00823045, 0.00548697, -84.3538, 40.5664
8.16099e+08, -0.00137174, 0.00137174, -60.5561, 11.3761
8.234e+08, -0.000152416, 0.00762079, -66.2893, 22.5522
8.30702e+08, -0.00411523, 0.00823045, -63.9818, 6.23538
8.37998e+08, -0.00274348, 0.00137174, -82.3894, 32.4934
8.45299e+08, -0.00411523, 0.00411523, -63.5054, 13.4329
8.52601e+08, -0.00960219, 0.000457247, -70.8147, 28.2247
8.59902e+08, -0.00137174, -0.00274348, -67.6991, 19.7445
8.67198e+08, -0.00411523, 0.00502972, -78.0042, 32.6169
8.74499e+08, -0.00548697, 0.00548697, -73.595, 23.0433
8.81801e+08, -0.00685871, 0.00548697, -65.3633, 8.55201
8.89103e+08, -0.00243865, 0.00137174, -68.6807, 19.2316
8.96398e+08, -0.0164609, 0.00823045, -84.0676, 44.6914
9.037e+08, -0.015394, 0.00106691, -69.2063, 28.4965
9.11001e+08, -0.00640146, 0.00594422, -69.9437, 23.3668
9.18303e+08, -0.00548697, 0.00990703, -84.0629, 30.3978
9.25598e+08, -0.00411523, 0.00411523, -73.8418, 28.9246
9.329e+08, -0.00548697, 0.00411523, -77.1451, 25.2728
9.40201e+08, -0.00777321, 0.00548697, -65.4488, 16.5869
9.47497e+08, -0.00685871, -0.000304832, -61.2847, 14.3068
9.54799e+08, -0.00548697, 0.00137174, -70.8191, 27.182
9.621e+08, -0.00502972, 0.000914495, -84.7621, 35.5541
9.69402e+08, -0.00533455, 0.00259107, -66.8419, 24.5591
9.76697e+08, -0.00792562, 0.00121933, -70.6203, 26.4239
9.83999e+08, -0.00411523, -1.12757e-16, -62.7777, 20.8393
9.913e+08, -0.00823045, -0.00274348, -71.1436, 21.9478
9.98602e+08, -0.00548697, 0.00137174, -74.3991, 31.3272
1.0059e+09, -0.00777321, 0.00457247, -78.72, 31.3483
1.0132e+09, -0.00960219, -0.00274348, -63.6937, 18.461
1.0205e+09, -0.00960219, 0.00411523, -74.4683, 26.6257
1.0278e+09, -0.00411523, 0.00411523, -68.8233, 12.9696
1.0351e+09, -0.00594422, -0.00182899, -72.1147, 19.281
1.0424e+09, -0.00853528, 0.000609663, -72.8873, 27.1922
1.0497e+09, -0.00274348, 0.00137174, -75.7806, 27.0186
1.057e+09, -0.00777321, 0.00457247, -69.3809, 22.9121
1.0643e+09, -0.00777321, 0.00548697, -75.1379, 28.3892
1.0716e+09, -0.0100594, -0.00243865, -83.5839, 35.5451
1.0789e+09, -0.0105167, -0.00243865, -86.5377, 35.5361
1.0862e+09, -0.0114312, -0.00137174, -97.8207, 43.2503
1.0935e+09, -0.011736, 0.000762079, -103.493, 45.428
1.1008e+09, -0.0126505, 0.000152416, -101.267, 41.4137
1.1081e+09, -0.0120408, 0.00259107, -121.585, 57.5852
1.1154e+09, -0.00457247, 0.00457247, -104.537, 35.111
1.1227e+09, -0.0128029, -0.00411523, -97.0685, 33.5479
1.13e+09, -0.0163085, 0.00396281, -93.5046, 40.1319
1.1373e+09, -0.0150892, 0.00411523, -79.9857, 34.194
1.1446e+09, -0.0152416, 0.000152416, -83.2275, 38.7336
1.1519e+09, -0.0114312, 0.000457247, -64.1286, 25.2764
1.1592e+09, -0.00548697, 0.00960219, -71.0804, 25.4935
1.1665e+09, -0.013565, -0.000304832, -62.3985, 23.2949
1.1738e+09, -0.0164609, 0.00411523, -60.226, 20.5377
1.1811e+09, -0.0137174, -0.00137174, -65.9755, 23.5795
1.1884e+09, -0.0123457, 0, -67.8383, 21.4173
1.1957e+09, -0.00137174, 4.33681e-19, -63.1222, 5.94242
1.203e+09, -0.00685871, 0.0108215, -69.3111, 22.4785
1.2103e+09, -0.00548697, -1.30104e-18, -69.055, 21.7216
1.2176e+09, -0.00685871, 0.00137174, -69.2492, 22.8943
1.2249e+09, -0.0105167, -0.00457247, -80.3246, 31.3331
1.2322e+09, -0.00685871, 0.00502972, -66.9979, 19.1781
1.2395e+09, -0.00792562, -0.00350556, -81.962, 30.6292
1.2468e+09, 0.00182899, 0.000609663, -70.1511, 7.64265
1.2541e+09, -0.0109739, 0.00960219, -75.9886, 29.9934
1.2614e+09, -0.00320073, -0.00594422, -70.8025, 22.9683
1.2687e+09, -0.00762079, 0.00442006, -68.3737, 25.1406
1.276e+09, -0.00823045, 0.00411523, -57.7684, 18.4832
1.2833e+09, -0.0137174, 0.00152416, -68.636, 25.6984
1.2906e+09, -0.0138698, 0.00152416, -71.4536, 28.0422
1.2979e+09, -0.00823045, 0.000457247, -66.4392, 23.8156
1.3052e+09, -0.00823045, -1.73472e-18, -67.2787, 27.065
