name, TX Frontend Calibration
serial, F5942E
timestamp, 1454422232
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, 0.00137174, -0.0233196, -77.6535, 40.0986
4.07302e+08, -0.00685871, -0.00746837, -81.5769, 36.3659
4.14599e+08, -0.00792562, -0.00442006, -78.9574, 33.5106
4.21901e+08, -0.00944978, -0.000914495, -84.5667, 38.5278
4.29198e+08, -0.00975461, 0.000914495, -85.4022, 38.4355
4.365e+08, -0.0106691, 0.00335315, -80.2686, 32.7199
4.43801e+08, -0.0105167, 0.00594422, -95.7057, 48.4401
4.51099e+08, -0.0105167, 0.00502972, -78.9187, 30.8478
4.584e+08, -0.00929736, 0.00502972, -83.3682, 34.726
4.657e+08, -0.0086877, 0.00594422, -92.7923, 44.2261
4.73001e+08, -0.00716354, 0.00670629, -74.2445, 25.2881
4.80298e+08, -0.00701113, 0.00609663, -88.767, 39.4026
4.876e+08, -0.00655388, 0.00640146, -79.9663, 30.4753
4.94901e+08, -0.00502972, 0.00548697, -83.7776, 33.9109
5.02198e+08, -0.00533455, 0.00502972, -89.8487, 40.4798
5.09499e+08, -0.00457247, 0.00472489, -88.1968, 38.6208
5.16801e+08, -0.00457247, 0.00457247, -78.3555, 28.219
5.24098e+08, -0.00487731, 0.00457247, -95.8177, 45.6624
5.31399e+08, -0.00365798, 0.00502972, -92.8758, 41.7045
5.38701e+08, -0.00335315, 0.00426764, -84.6103, 33.3265
5.46002e+08, -0.00320073, 0.00426764, -77.5282, 26.1092
5.53299e+08, -0.00274348, 0.00411523, -85.6671, 33.3402
5.60601e+08, -0.00243865, 0.00396281, -102.367, 50.1717
5.67902e+08, -0.00228624, 0.00457247, -84.422, 31.4145
5.75201e+08, -0.00243865, 0.00396281, -82.7589, 28.5713
5.82503e+08, -0.00182899, 0.00320073, -101.164, 46.2111
5.89799e+08, -0.00213382, 0.00335315, -85.716, 28.7137
5.971e+08, -0.00121933, 0.00259107, -84.5645, 27.0745
6.04402e+08, -0.00152416, 0.00228624, -84.0431, 23.743
6.11697e+08, -0.00182899, 0.00228624, -89.1839, 29.656
6.18999e+08, -0.00152416, 0.00198141, -99.6951, 37.7814
6.263e+08, -0.00137174, 0.00228624, -87.7428, 23.2485
6.33602e+08, -0.00121933, 0.00198141, -91.5836, 23.9121
6.40897e+08, -0.000762079, 0.00243865, -97.4259, 26.4299
6.48199e+08, -0.00137174, 0.00182899, -96.7744, 20.8842
6.55501e+08, -0.00137174, 0.00137174, -104.153, 25.6272
6.62802e+08, -0.00228624, 0.00137174, -98.6199, 26.7894
6.70098e+08, -0.00121933, 0.00106691, -94.7052, 26.4055
6.77399e+08, -0.00137174, 0.00137174, -93.5504, 29.0966
6.84701e+08, -0.000914495, 0.00243865, -89.0828, 28.2031
6.92002e+08, -0.000762079, 0.00198141, -84.4719, 24.8993
6.99298e+08, -0.000457247, 0.00106691, -81.9558, 21.5999
7.066e+08, -0.00152416, -0.00121933, -68.6974, 6.98291
7.13901e+08, 0, 0, -81.4878, 30.1575
7.21203e+08, -0.000914495, 0.00182899, -73.9388, 17.514
7.28498e+08, -0.00274348, -0.00137174, -75.1706, 19.2296
7.358e+08, -0.000152416, 0.000152416, -65.9616, 15.2953
7.43101e+08, -0.00259107, 0.00121933, -81.9459, 28.0229
7.50403e+08, -0.00457247, 0.000457247, -73.7521, 21.0258
7.57698e+08, -0.00594422, 0.00365798, -65.3401, 13.9247
7.65e+08, 5.42101e-20, 5.42101e-20, -68.0681, 13.9992
7.72302e+08, -0.00502972, 0.00411523, -66.6919, 18.2214
7.79597e+08, -0.00411523, -1.73472e-18, -76.5637, 28.7771
7.86899e+08, -0.00533455, 0.000457247, -69.0458, 24.6101
7.942e+08, -0.00563938, -0.000304832, -75.4977, 31.0433
8.01502e+08, -0.00472489, 0.00213382, -71.9061, 20.0134
8.08797e+08, -0.000457247, -1.6263e-18, -69.5344, 18.7041
8.16099e+08, -0.00411523, -0.00411523, -77.3499, 25.7439
8.234e+08, -1.73472e-18, 0.00411523, -71.4315, 17.8068
8.30702e+08, 0.00106691, -1.10534e-16, -77.2473, 29.7968
8.37998e+08, -0.00274348, -1.10589e-16, -59.3982, 7.73129
8.45299e+08, -0.00304832, 0.00350556, -67.2815, 24.6603
8.52601e+08, -0.00411523, -1.12757e-16, -80.8021, 30.0852
8.59902e+08, -0.00411523, -1.73472e-18, -80.4948, 29.3023
8.67198e+08, -0.00274348, 0.000914495, -66.9172, 24.8462
8.74499e+08, -0.000457247, 0.00411523, -73.1045, 21.9749
8.81801e+08, -0.0181375, 0.00853528, -72.3028, 27.2498
8.89103e+08, -0.0150892, 0.00548697, -69.4986, 26.6387
8.96398e+08, -0.0109739, 0.00137174, -76.0137, 33.1449
9.037e+08, -0.00823045, -0.00548697, -73.8361, 29.3369
9.11001e+08, -0.00411523, 0.00411523, -74.5332, 26.1198
9.18303e+08, -0.00685871, 0.00137174, -68.9549, 23.1927
9.25598e+08, -0.00320073, 0.00137174, -68.7666, 20.0705
9.329e+08, -0.00167657, 0.00152416, -69.5974, 15.0377
9.40201e+08, -0.00304832, 0.00152416, -83.1903, 39.4496
9.47497e+08, -0.00320073, 0.000457247, -79.4947, 33.6219
9.54799e+08, -0.00365798, -1.1048e-16, -71.4904, 15.0424
9.621e+08, -1.57209e-18, -1.57209e-18, -71.7341, 16.4007
