name, TX Frontend Calibration
serial, F59193
timestamp, 1454425929
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, -1.11022e-16, -0.666667, 14.5686, 3.62268
1.2073e+09, -0.178326, -0.111568, 44.4347, 23.2579
1.2146e+09, -0.209877, -0.108368, 73.2627, 50.1336
1.2219e+09, -0.641975, -0.73251, 67.413, 43.1364
1.2292e+09, 0.825789, 0.998323, 59.3442, 32.5261
1.2365e+09, -0.237769, -0.346136, 40.7129, 11.4925
1.2438e+09, -0.25362, -0.401616, 39.243, 8.97699
1.2511e+09, -0.241122, 0.651273, 84.5509, 52.0347
1.2584e+09, -0.360768, 0.44856, 63.0367, 28.5521
1.2657e+09, 0.396433, -0.688615, 91.3314, 53.7608
1.273e+09, -0.0932785, 0.0975461, 92.2748, 51.1888
1.2803e+09, -0.0342936, 0.090535, 108.454, 63.0379
1.2876e+09, 0.0987654, 0.218107, 88.975, 35.4607
1.2949e+09, 0.0434385, 0.0749886, 80.9727, 37.1505
1.3022e+09, 0.085048, 0.108368, 79.416, 41.4602
1.3095e+09, 0.124829, 0.144033, 91.6495, 56.0706
1.3168e+09, -0.639689, -0.390032, 66.0748, 30.1678
1.3241e+09, -0.476147, -0.1672, 94.0911, 55.8764
1.3314e+09, -0.699588, 0.316415, 87.7418, 49.4089
1.3387e+09, 0.500991, 0.418534, 85.094, 48.322
1.346e+09, -0.433471, -0.0701113, 90.3352, 54.1484
1.3533e+09, -0.817558, 0.322359, 92.4281, 57.4918
1.3606e+09, 0.0495351, 0.0833714, 93.5479, 59.0482
1.3679e+09, 0.0237769, 0.0763603, 87.198, 51.5386
1.3752e+09, 0.00548697, 0.0507545, 81.4015, 41.4907
1.3825e+09, -0.0106691, 0.0176802, 88.3908, 38.9543
1.3898e+09, -0.019052, -0.0120408, 94.2719, 40.946
1.3971e+09, -0.00457247, -0.0603567, 91.3753, 42.5168
1.4044e+09, 0.0759031, -0.221308, 87.2787, 37.7895
1.4117e+09, 0.0884012, -0.115531, 78.2352, 26.0704
1.419e+09, 0.0713306, -0.113397, 95.8777, 49.982
1.4263e+09, 0.085048, -0.150892, 94.4073, 51.5335
1.4336e+09, 0.131535, -0.193416, 108.85, 63.9286
1.4409e+09, 0.193416, -0.242798, 88.0014, 40.8511
1.4482e+09, 0.271453, -0.295991, 86.0768, 41.2359
1.4555e+09, 0.322817, -0.379058, 90.9091, 51.1461
1.4628e+09, 0.401768, -0.453742, 90.1597, 54.1342
1.4701e+09, 0.394757, -0.523396, 86.4832, 51.1737
1.4774e+09, 0.230453, -0.530407, 94.458, 57.7087
1.4847e+09, 0.199512, -0.452218, 86.7097, 55.8414
1.492e+09, 0.241274, -0.451456, 87.3936, 60.5353
1.4993e+09, 0.24478, -0.467916, 85.195, 59.7666
1.5066e+09, 0.534522, -0.998019, 32.6953, 14.7833
1.5139e+09, 0.520043, -0.998476, 33.7197, 14.9002
1.5212e+09, 0.484682, -0.998171, 34.0018, 14.2404
1.5285e+09, 0.44856, -0.987654, 33.1683, 12.2219
1.5358e+09, 0.778692, -0.11294, 51.9307, 29.7649
1.5431e+09, 0.486664, -0.540314, 34.0528, 10.8953
1.5504e+09, 0.291876, -0.659046, 34.5232, 14.1942
1.5577e+09, 0.223594, -0.627801, 55.633, 40.1225
1.565e+09, 0.386526, -0.518823, 81.8108, 63.0161
1.5723e+09, -0.00853528, -0.395214, 71.5289, 46.4026
1.5796e+09, -0.0269776, -0.780216, 97.8638, 74.8194
1.5869e+09, 0.132907, -0.999695, 37.7316, 16.6482
1.5942e+09, -0.0246914, 0.753086, 30.29, 6.79088
1.6015e+09, -0.164914, 0.382868, 90.6936, 64.7322
1.6088e+09, -0.238683, 0.208505, 104.722, 78.2928
1.6161e+09, -0.299345, 0.0521262, 77.7718, 51.1003
1.6234e+09, -0.332571, -0.141899, 75.1627, 49.4428
1.6307e+09, -0.368999, -0.326475, 84.7795, 60.7105
1.638e+09, 0.58299, -0.378601, 96.5295, 73.5376
1.6453e+09, 0.506173, -0.44856, 101.602, 78.988
1.6526e+09, 0.505868, -0.510288, 83.33, 60.6045
1.6599e+09, 0.512117, -0.577961, 87.2857, 64.8633
1.6672e+09, 0.440329, -0.592593, 84.0961, 62.0896
1.6745e+09, 0.364883, -0.593964, 91.3607, 68.9519
1.6818e+09, 0.304832, -0.603414, 94.5487, 71.5249
1.6891e+09, 0.243865, -0.596555, 89.2359, 65.2962
1.6964e+09, 0.163237, -0.567901, 86.3434, 61.1623
1.7037e+09, 0.0274348, -0.51989, 98.1141, 71.3794
1.711e+09, -0.123457, -0.489712, 103.774, 74.2896
1.7183e+09, -0.289895, -0.428898, 93.9058, 58.6336
1.7256e+09, 0.0288066, 0.0809328, 54.745, 3.65633
