name, TX Frontend Calibration
serial, F591A4
timestamp, 1454428041
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0.995885, 0.946502, 0.375421, 0.877666
1.2073e+09, -0.164457, -0.111416, 38.4683, 17.9506
1.2146e+09, -0.22085, -0.0384088, 83.7191, 60.4215
1.2219e+09, 0.886603, 0.61454, 50.119, 25.2094
1.2292e+09, -0.271453, -0.229691, 77.4484, 50.9214
1.2365e+09, -0.358025, -0.353909, 58.7562, 30.5603
1.2438e+09, -0.287913, -0.189605, 36.9533, 8.91903
1.2511e+09, -0.40192, 0.508916, 45.6259, 15.9719
1.2584e+09, -0.329523, 0.403292, 39.6809, 8.7772
1.2657e+09, -0.296296, 0.770919, 50.7391, 17.4363
1.273e+09, -0.110197, 0.123, 83.7693, 46.445
1.2803e+09, -0.0534979, 0.119342, 86.3991, 44.1414
1.2876e+09, 0.0534979, 0.115226, 67.6193, 15.0238
1.2949e+09, 0.0397805, 0.0562414, 81.197, 31.0853
1.3022e+09, 0.0609663, 0.0728547, 83.3244, 41.4188
1.3095e+09, 0.115226, 0.106996, 98.8667, 59.3083
1.3168e+09, 0.210334, 0.157293, 61.4594, 17.8362
1.3241e+09, -0.106081, -0.131687, 95.3261, 45.9593
1.3314e+09, -0.0681299, -0.0539552, 82.4315, 32.8777
1.3387e+09, -0.0371895, 0.0249962, 82.5026, 41.6791
1.346e+09, -0.180155, -0.00411523, 84.0535, 45.4468
1.3533e+09, 0.0879439, 0.0835239, 84.6004, 47.473
1.3606e+09, 0.0723975, 0.113702, 86.0864, 53.2594
1.3679e+09, 0.0589849, 0.123457, 81.377, 49.0425
1.3752e+09, 0.048011, 0.133059, 81.2429, 47.3242
1.3825e+09, 0.0347508, 0.124371, 101.088, 63.3772
1.3898e+09, -1.10589e-16, 0.100137, 78.3771, 37.2267
1.3971e+09, -0.0112788, 0.0547173, 91.4278, 42.7383
1.4044e+09, -0.00823045, -0.00823045, 83.6948, 22.8111
1.4117e+09, -0.0192044, 0.0288066, 82.8954, 24.0166
1.419e+09, -0.0114312, 0.02271, 81.8202, 15.7855
1.4263e+09, -0.000914495, -0.0233196, 84.2364, 23.0005
1.4336e+09, 0.0109739, -0.0727023, 96.4248, 45.5673
1.4409e+09, 0.324798, -0.223899, 96.0309, 51.5862
1.4482e+09, 0.438043, -0.44414, 87.7647, 46.7081
1.4555e+09, 0.600823, 0.753086, 100.204, 59.7425
1.4628e+09, 0.379058, 0.793324, 90.706, 52.4844
1.4701e+09, -0.090535, -0.213992, 83.4422, 44.7366
1.4774e+09, -0.0105167, -0.0667581, 56.3015, 2.8044
1.4847e+09, 0.213839, -0.472184, 93.6344, 61.7973
1.492e+09, 0.332876, -0.555098, 90.5674, 63.2916
1.4993e+09, 0.364883, -0.683128, 88.8761, 62.8234
1.5066e+09, 0.42524, -0.995885, 28.9299, 9.34032
1.5139e+09, 0.349794, -0.996342, 30.8672, 10.5584
1.5212e+09, 0.236244, -0.996647, 30.8141, 9.34403
1.5285e+09, 0.834476, 0.308642, 82.4555, 58.8021
1.5358e+09, 0.361835, -0.329523, 35.4601, 8.40326
1.5431e+09, 0.18488, -0.481786, 48.8644, 22.9984
1.5504e+09, 0.338973, -0.664228, 76.1957, 57.1436
1.5577e+09, -0.344155, -0.121475, 81.4074, 64.2268
1.565e+09, -0.328304, -0.0105167, 81.6887, 62.0708
1.5723e+09, -0.303155, -0.685414, 85.1505, 57.7499
1.5796e+09, -0.102881, -0.876543, 80.7655, 56.6462
1.5869e+09, 0.092364, -0.998171, 32.3079, 11.2264
1.5942e+09, 0.654016, 0.798201, 35.9251, 11.1115
1.6015e+09, -0.198903, 0.455723, 82.6356, 56.1991
