name, TX Frontend Calibration
serial, F591C5
timestamp, 1454423997
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0.613169, -0.139918, 21.0421, 8.42516
1.2073e+09, -0.172687, -0.111416, 37.2593, 15.1865
1.2146e+09, -0.242036, -0.0871818, 81.8797, 59.6468
1.2219e+09, -0.77915, -0.853224, 49.9763, 27.2761
1.2292e+09, -0.390947, -0.36717, 41.4716, 17.3114
1.2365e+09, -0.124371, -0.110197, 29.6575, 2.98723
1.2438e+09, -0.299954, -0.287304, 34.3497, 7.60262
1.2511e+09, -0.453132, 0.407407, 46.1675, 18.0871
1.2584e+09, -0.318244, 0.371742, 38.4965, 9.15461
1.2657e+09, -0.272215, 0.789819, 81.3761, 49.6027
1.273e+09, -0.166895, 0.998171, 52.1007, 17.4077
1.2803e+09, -0.048011, 0.226337, 66.3548, 28.2242
1.2876e+09, 0.038866, 0.0891632, 41.8681, 1.03257
1.2949e+09, -0.174668, -0.15455, 45.0101, 4.16577
1.3022e+09, -0.192349, -0.0784941, 56.389, 12.3842
1.3095e+09, -0.291571, 0.0336839, 87.0315, 42.4251
1.3168e+09, 0.166895, 0.0955647, 54.626, 10.0551
1.3241e+09, 0.0315501, 0.0384088, 82.8455, 35.3804
1.3314e+09, 0.02713, 0.0272824, 96.1595, 42.6019
1.3387e+09, 0.00411523, 0.0205761, 71.5456, 24.725
1.346e+09, -0.192958, 0.00960219, 89.2472, 43.7701
1.3533e+09, 0.109587, 0.0602042, 94.6619, 58.9974
1.3606e+09, 0.0594422, 0.101509, 81.0415, 48.1364
1.3679e+09, 0.0534979, 0.117513, 95.1091, 61.2598
1.3752e+09, 0.0416095, 0.124371, 88.5937, 53.9411
1.3825e+09, 0.0262155, 0.0961744, 85.2422, 46.969
1.3898e+09, 0.000457247, 0.0640146, 85.9113, 43.9959
1.3971e+09, 0.00502972, 0.0310928, 81.4405, 30.7041
1.4044e+09, 0.0188996, 0.00182899, 90.5994, 32.0063
1.4117e+09, 0.0304832, -0.00899253, 95.0581, 43.6751
1.419e+09, 0.048011, -0.0384088, 83.4835, 35.6528
1.4263e+09, 0.0539552, -0.0621856, 90.6368, 43.295
1.4336e+09, 0.0553269, -0.121018, 58.0708, 14.6506
1.4409e+09, 0.259259, 0.301783, 66.0362, 26.1363
1.4482e+09, 0.44734, 0.469288, 81.5778, 43.6787
1.4555e+09, -0.0470965, -0.355281, 86.5093, 50.1216
1.4628e+09, -0.0246914, -0.45679, 56.9629, 23.6514
1.4701e+09, 0.0736168, -0.506173, 49.0542, 18.6658
1.4774e+09, 0.210181, -0.297516, 80.1468, 53.4608
1.4847e+09, 0.259259, -0.436214, 83.7091, 59.9455
1.492e+09, 0.285322, -0.532236, 88.4769, 65.6016
1.4993e+09, 0.32114, -0.617436, 89.0743, 65.6973
1.5066e+09, 0.399787, -0.999848, 25.1529, 8.51244
1.5139e+09, 0.47066, -0.998933, 27.481, 9.32463
1.5212e+09, 0.507545, -0.932785, 28.16, 8.47212
1.5285e+09, 0.882183, 0.177107, 89.7907, 68.4347
1.5358e+09, 0.314129, 0.563634, 86.8272, 63.6613
1.5431e+09, 0.111111, -0.962506, 26.9758, 3.83783
1.5504e+09, 0.0740741, -0.687243, 34.5126, 17.3298
1.5577e+09, -0.400549, -0.550069, 41.4763, 27.5195
1.565e+09, 0.889956, -0.768785, 26.8745, 11.0479
1.5723e+09, 0.579028, -0.581161, 82.5935, 59.8092
1.5796e+09, -0.133516, -0.545953, 75.6425, 49.6342
1.5869e+09, 0.0192044, -0.931413, 93.7278, 72.3098
1.5942e+09, -0.0877915, 0.776406, 41.8368, 17.8782
1.6015e+09, -0.349947, 0.198293, 88.6698, 64.0845
1.6088e+09, -0.410151, 0.0943454, 88.3278, 65.2045
1.6161e+09, -0.840268, -0.345069, 82.6112, 60.9802
1.6234e+09, -0.628258, -0.320988, 86.3597, 66.2251
1.6307e+09, -0.553269, -0.336077, 32.4571, 13.2999
1.638e+09, 0.908093, -0.753086, 81.4485, 62.7289
1.6453e+09, 0.722908, -0.814815, 91.0802, 72.1135
1.6526e+09, 0.670782, -0.876543, 84.1965, 64.7934
1.6599e+09, 0.616369, -0.983082, 55.9061, 36.9785
1.6672e+09, 0.520348, -0.998628, 47.1841, 27.994
1.6745e+09, 0.442463, -0.994208, 45.1763, 24.8753
1.6818e+09, 0.399482, -0.999848, 51.1168, 28.9947
1.6891e+09, 0.316872, -0.979424, 87.3757, 62.937
1.6964e+09, 0.148148, -0.811004, 74.9314, 47.7758
1.7037e+09, -0.18107, -0.518519, 90.1081, 59.0268
1.711e+09, -0.386526, -0.440482, 101.264, 63.8845
1.7183e+09, -0.279835, -0.134431, 86.7467, 47.4455
1.7256e+09, 0.0367322, 0.411827, 88.5104, 55.3542
1.7329e+09, 0.0475537, 0.643804, 79.1099, 49.1278
1.7402e+09, 0.105624, 0.688615, 78.9263, 49.1637
1.7475e+09, 0.266575, 0.673983, 87.8738, 57.7836
1.7548e+09, 0.165219, 0.3312, 71.8072, 34.2696
1.7621e+09, 0.0202713, -0.098613, 81.7265, 39.8211
1.7694e+09, -0.036275, -0.255449, 85.9296, 50.1628
1.7767e+09, -0.0278921, -0.236854, 84.3585, 49.632
1.784e+09, 0.0259107, -0.194025, 107.849, 73.2163
1.7913e+09, 0.0411523, -0.218107, 82.8144, 49.2513
1.7986e+09, 0.0402378, -0.294467, 78.975, 47.7986
1.8059e+09, 0.0288066, -0.336077, 83.6947, 53.9472
1.8132e+09, -0.0487731, -0.349337, 102.918, 73.4543
1.8205e+09, -0.148148, -0.358025, 83.6953, 53.9647
1.8278e+09, -0.123, -0.434995, 84.5717, 55.7962
1.8351e+09, -0.000914495, -0.446731, 86.3463, 59.9348
1.8424e+09, 0.0932785, -0.474623, 83.4988, 59.186
1.8497e+09, 0.139765, -0.504649, 87.887, 65.0529
1.857e+09, 0.165371, -0.506173, 82.5333, 60.2299
1.8643e+09, 0.178174, -0.485597, 94.9125, 72.2289
1.8716e+09, 0.189453, -0.461972, 92.3788, 68.4962
1.8789e+09, 0.173602, -0.457095, 97.8538, 72.9569
1.8862e+09, 0.141442, -0.461058, 94.9928, 69.426
1.8935e+09, 0.103948, -0.455266, 94.7108, 68.7461
1.9008e+09, 0.0827618, -0.427679, 81.0414, 54.558
1.9081e+09, 0.0792562, -0.392166, 85.0662, 58.1193
1.9154e+09, 0.0836763, -0.37037, 102.715, 76.1425
1.9227e+09, 0.0890108, -0.346594, 100.275, 73.4033
1.93e+09, 0.104252, -0.318244, 83.5762, 56.0163
1.9373e+09, 0.120866, -0.286847, 86.9522, 58.5385
1.9446e+09, 0.149215, -0.251181, 81.3935, 52.2583
1.9519e+09, 0.163237, -0.195092, 79.3814, 49.133
1.9592e+09, 0.128334, -0.241274, 90.1247, 61.3472
1.9665e+09, 0.158665, -0.40695, 106.429, 81.4918
1.9738e+09, 0.110197, -0.394604, 96.7385, 73.2017
1.9811e+09, 0.0345984, -0.387593, 92.9502, 69.516
1.9884e+09, -0.0371895, -0.324798, 116.341, 92.7387
1.9957e+09, -0.655693, -0.533608, 91.3417, 68.4505
2.003e+09, -0.724127, 0.135802, 77.9607, 55.4102
2.0103e+09, -0.72931, 0.13626, 81.8192, 59.8503
2.0176e+09, -0.740741, -0.259259, 33.8347, 13.1369
2.0249e+09, 0.00396281, -0.267947, 89.9486, 67.9855
2.0322e+09, 0.00792562, -0.286084, 88.0705, 64.3557
2.0395e+09, 0.0161561, -0.297668, 92.4453, 67.4775
2.0468e+09, 0.0251486, -0.308185, 87.3737, 61.5953
2.0541e+09, 0.038866, -0.315501, 96.0716, 69.7557
2.0614e+09, 0.0672154, -0.332266, 93.8683, 67.2147
2.0687e+09, 0.0513641, -0.341411, 80.4659, 53.8431
2.076e+09, 0.048011, -0.319921, 74.6391, 47.2086
2.0833e+09, 0.0603567, -0.311385, 85.9353, 57.5552
2.0906e+09, 0.059747, -0.315348, 92.6923, 64.1293
2.0979e+09, 0.0493827, -0.308642, 97.2026, 68.7261
2.1052e+09, 0.0481634, -0.306965, 83.4417, 55.1532
2.1125e+09, 0.0417619, -0.301783, 92.3199, 64.402
2.1198e+09, 0.0358177, -0.290504, 92.0536, 64.4138
2.1271e+09, 0.0277397, -0.279683, 91.4427, 63.9886
2.1344e+09, 0.020881, -0.272824, 95.5702, 68.3547
2.1417e+09, 0.0169182, -0.263832, 78.3731, 51.2731
2.149e+09, 0.00960219, -0.25423, 94.2612, 67.1872
2.1563e+09, 0.00472489, -0.242798, 86.6515, 59.3368
2.1636e+09, 0.00426764, -0.235787, 93.6396, 65.9871
2.1709e+09, 0.00792562, -0.22649, 82.2855, 54.4303
2.1782e+09, 0.0103643, -0.21323, 82.5708, 54.7188
2.1855e+09, 0.00518214, -0.198293, 88.4691, 59.9121
2.1928e+09, 0.00335315, -0.188081, 78.1729, 48.5631
2.2001e+09, 0.00457247, -0.18046, 81.8784, 51.5119
