name, TX Frontend Calibration
serial, F591CE
timestamp, 1454429846
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
1.2e+09, 0, 0, 0, 1.84994
1.2073e+09, -0.20881, -0.111873, 50.9877, 32.2413
1.2146e+09, -0.251029, -0.112483, 73.4388, 53.3812
1.2219e+09, -0.279378, -0.195854, 94.5539, 72.4314
1.2292e+09, -0.286542, -0.283493, 82.8714, 57.6763
1.2365e+09, -0.333333, -0.37037, 56.6042, 29.3333
1.2438e+09, -0.308642, -0.382716, 35.7507, 7.70823
1.2511e+09, -0.373114, 0.363512, 43.2241, 13.4642
1.2584e+09, -0.300412, 0.311843, 39.3803, 7.99127
1.2657e+09, -0.164609, 0.148148, 81.9462, 47.915
1.273e+09, -0.111111, 0.0804755, 89.6538, 51.8139
1.2803e+09, 0.349947, -0.73373, 84.0204, 41.4616
1.2876e+09, -0.0246914, -0.0150892, 91.2782, 40.2462
1.2949e+09, 0.0900777, 0.113397, 95.8325, 47.0152
1.3022e+09, 0.0836763, 0.0975461, 86.7625, 43.875
1.3095e+09, 0.0823045, 0.119342, 86.3278, 42.7329
1.3168e+09, 0.255601, 0.265203, 83.3111, 32.4026
1.3241e+09, -0.037037, -0.21262, 67.6142, 17.142
1.3314e+09, 0.0301783, 0.0727023, 49.2256, 0.850546
1.3387e+09, -0.415638, 0.440329, 61.807, 14.4203
1.346e+09, -0.209724, -0.197074, 87.5815, 50.0053
1.3533e+09, 0.0416095, 0.0925164, 77.7141, 43.0177
1.3606e+09, 0.0522786, 0.10791, 88.7249, 54.4859
1.3679e+09, 0.0594422, 0.124219, 96.6152, 61.5558
1.3752e+09, 0.042524, 0.133059, 83.5218, 47.7064
1.3825e+09, 0.0242341, 0.117513, 97.4351, 58.1333
1.3898e+09, 0.00274348, 0.0672154, 88.3516, 44.5067
1.3971e+09, -0.0086877, 0.0155464, 93.0813, 41.4201
1.4044e+09, -0.0182899, -0.0292638, 92.3661, 43.6949
1.4117e+09, -0.0324646, -0.0859625, 85.6772, 40.6323
1.419e+09, -0.0397805, -0.108368, 73.8927, 31.3049
1.4263e+09, -0.0470965, -0.143576, 88.3751, 47.3241
1.4336e+09, -0.0393233, -0.146776, 83.6957, 43.6326
1.4409e+09, -0.0256059, -0.134888, 99.9404, 61.0446
1.4482e+09, 0.000457247, -0.107453, 94.7882, 57.0283
1.4555e+09, 0.554184, 0.22085, 44.0721, 5.17485
1.4628e+09, 0.703094, 0.456485, 94.476, 53.5154
1.4701e+09, 0.559671, 0.514403, 77.7746, 37.0514
1.4774e+09, 0.312757, 0.33882, 89.8035, 48.0443
1.4847e+09, -0.00670629, -0.270538, 91.5105, 54.9974
1.492e+09, 0.0538028, -0.471117, 84.9705, 52.3756
1.4993e+09, 0.148148, -0.555556, 91.5275, 61.237
1.5066e+09, 0.391709, -0.996952, 33.5468, 12.0076
1.5139e+09, 0.302241, -0.994818, 35.9804, 13.9991
1.5212e+09, 0.122085, -0.995885, 35.0744, 11.6832
1.5285e+09, 0.665295, 0.833714, 78.0809, 52.9205
1.5358e+09, 0.456485, -0.345527, 40.0674, 10.8166
1.5431e+09, 0.598537, -0.614083, 83.785, 53.8503
1.5504e+09, -0.327542, 0.0381039, 86.9678, 63.3754
1.5577e+09, 0.659503, -0.538333, 78.7418, 59.5737
1.565e+09, 0.474623, -0.227709, 84.8092, 62.6543
1.5723e+09, 0.0260631, -0.133059, 92.0575, 57.6655
1.5796e+09, -0.20759, -0.664838, 27.9887, 6.11176
1.5869e+09, -0.0548697, -0.998171, 28.8314, 10.8458
1.5942e+09, 0.871971, 0.662551, 27.8753, 8.72568
1.6015e+09, 0.0315501, 0.825789, 86.5571, 65.5184
1.6088e+09, -0.021643, 0.691206, 83.159, 62.6767
1.6161e+09, 0.833562, -0.0713306, 79.9819, 58.7269
1.6234e+09, 0.930041, -0.156379, 83.1041, 61.2391
1.6307e+09, -0.361835, 0.400701, 75.991, 52.6114
1.638e+09, -0.34446, 0.262155, 69.7896, 44.2217
1.6453e+09, -0.338668, 0.116598, 84.8442, 57.4166
1.6526e+09, -0.331962, -0.0507545, 90.0996, 61.6106
1.6599e+09, 0.662551, -0.325103, 99.7926, 71.2388
1.6672e+09, -0.419753, -0.62963, 49.4413, 21.6707
1.6745e+09, 0.449017, -0.345679, 78.2328, 51.2696
1.6818e+09, 0.320988, -0.395062, 75.3852, 49.3298
1.6891e+09, 0.173754, -0.467307, 89.6409, 63.9917
1.6964e+09, 0.0768176, -0.544582, 86.0927, 60.2679
1.7037e+09, -0.00365798, -0.568816, 88.0417, 61.3416
1.711e+09, -0.11797, -0.540466, 83.1527, 53.3864
1.7183e+09, -0.261241, -0.531474, 86.2733, 47.5598
1.7256e+09, 0.28898, 0.594422, 101.485, 64.1403
1.7329e+09, -0.664685, -0.347965, 88.5092, 58.9665
1.7402e+09, -0.677641, -0.0987654, 88.3736, 60.8245
1.7475e+09, -0.785551, 0.108368, 53.0796, 26.027
1.7548e+09, 0.277549, 0.773205, 80.9228, 50.7593
1.7621e+09, 0.0658436, 0.345679, 89.9647, 52.0697
1.7694e+09, -0.101966, -0.0777321, 89.863, 44.6058
1.7767e+09, -0.158665, -0.209419, 77.474, 33.3243
1.784e+09, -0.090535, -0.0946502, 85.2707, 39.8591
1.7913e+09, -0.0246914, -0.0864198, 95.5978, 50.5839
1.7986e+09, -0.0466392, -0.209877, 104.631, 68.3354
1.8059e+09, -0.0672154, -0.299497, 81.4473, 49.5469
1.8132e+09, -0.0946502, -0.329218, 76.3738, 46.0562
1.8205e+09, -0.189758, -0.333333, 83.6631, 53.1759
1.8278e+09, -0.11797, -0.38546, 81.284, 51.8109
