name, TX Frontend Calibration
serial, F592D9
timestamp, 1454420321
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, 0.0246914, -0.0589849, 77.7231, 37.1095
4.07302e+08, -0.0919067, -0.196159, 83.0253, 51.4699
4.14599e+08, -0.0754458, -0.294925, 84.2205, 55.4432
4.21901e+08, -0.0109739, -0.403292, 92.5418, 65.6165
4.29198e+08, 0.112483, -0.547325, 90.5016, 65.2928
4.365e+08, 0.314129, -0.740741, 83.2402, 59.3725
4.43801e+08, 0.445816, -0.84225, 99.7581, 76.5946
4.51099e+08, 0.418381, -0.796982, 87.3246, 64.211
4.584e+08, 0.407103, -0.764365, 95.4653, 72.5009
4.657e+08, 0.454047, -0.786008, 88.1423, 65.365
4.73001e+08, 0.477824, -0.78235, 89.1015, 66.5288
4.80298e+08, 0.485597, -0.765585, 90.6145, 67.9933
4.876e+08, 0.479043, -0.732663, 96.9304, 74.1542
4.94901e+08, 0.437128, -0.673525, 94.8524, 71.614
5.02198e+08, 0.380735, -0.582076, 96.216, 71.9754
5.09499e+08, 0.30849, -0.483006, 86.6227, 61.0495
5.16801e+08, 0.237464, -0.38546, 84.3509, 57.275
5.24098e+08, 0.189758, -0.310928, 82.8593, 54.2307
5.31399e+08, 0.147996, -0.248438, 87.2291, 56.7786
5.38701e+08, 0.111264, -0.19997, 91.4998, 59.5059
5.46002e+08, 0.0778845, -0.163085, 82.5728, 48.8165
5.53299e+08, 0.0545649, -0.121933, 72.0144, 36.0378
5.60601e+08, 0.0333791, -0.0879439, 85.3243, 46.6089
5.67902e+08, 0.0176802, -0.0496875, 83.5019, 40.3088
5.75201e+08, -0.000304832, -0.0137174, 94.5248, 41.6008
5.82503e+08, -0.00624905, 0.0123457, 91.844, 36.6127
5.89799e+08, -0.0134126, 0.0384088, 88.6585, 42.6856
5.971e+08, -0.0187471, 0.0589849, 95.0222, 52.494
6.04402e+08, -0.0222527, 0.0710258, 89.5689, 49.3342
6.11697e+08, -0.0248438, 0.0838287, 89.0234, 50.1152
6.18999e+08, -0.0233196, 0.0946502, 96.9341, 59.256
6.263e+08, -0.0239293, 0.101814, 88.3048, 51.6336
6.33602e+08, -0.0192044, 0.111568, 80.0698, 44.1719
6.40897e+08, -0.0158512, 0.125438, 89.3455, 53.736
6.48199e+08, -0.0169182, 0.153178, 99.1434, 65.4159
