name, TX Frontend Calibration
serial, F592F1
timestamp, 1454424957
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, 0.0181375, -0.0342936, 84.1965, 40.2546
4.07302e+08, -0.0903826, -0.251181, 77.7013, 47.9502
4.14599e+08, -0.0598994, -0.363969, 89.2839, 62.1595
4.21901e+08, 0.0187471, -0.489255, 85.6821, 60.328
4.29198e+08, 0.182747, -0.668038, 79.8973, 56.1469
4.365e+08, 0.381039, -0.83661, 87.0972, 64.3365
4.43801e+08, 0.505258, -0.930956, 88.3689, 66.057
4.51099e+08, 0.466392, -0.879287, 88.8215, 66.5332
4.584e+08, 0.443225, -0.84667, 84.8342, 62.6842
4.657e+08, 0.49337, -0.867856, 81.0133, 58.9859
4.73001e+08, 0.530864, -0.871056, 79.7135, 57.8617
4.80298e+08, 0.546411, -0.860082, 84.8453, 63.056
4.876e+08, 0.554184, -0.843621, 89.0114, 67.2248
4.94901e+08, 0.538637, -0.806584, 84.1491, 62.2974
5.02198e+08, 0.504039, -0.745161, 109.581, 87.3436
5.09499e+08, 0.451303, -0.665295, 86.0686, 63.0417
5.16801e+08, 0.368084, -0.562872, 95.9448, 71.9735
5.24098e+08, 0.311843, -0.477366, 77.7469, 52.6243
5.31399e+08, 0.259717, -0.394147, 82.2473, 55.8018
5.38701e+08, 0.207285, -0.329371, 94.2441, 66.4327
5.46002e+08, 0.158208, -0.283341, 80.7095, 51.6606
5.53299e+08, 0.1262, -0.237311, 89.9276, 59.4721
5.60601e+08, 0.0960219, -0.196159, 86.4662, 54.6575
5.67902e+08, 0.0730072, -0.159884, 83.3354, 49.7024
5.75201e+08, 0.0455723, -0.113245, 82.8085, 46.6176
5.82503e+08, 0.0278921, -0.0749886, 86.3406, 46.6021
5.89799e+08, 0.013565, -0.0385612, 80.2473, 33.9112
5.971e+08, -0.00274348, 0.00563938, 95.6232, 33.8339
6.04402e+08, -0.0118884, 0.0440482, 78.3587, 32.7441
6.11697e+08, -0.0178326, 0.0690444, 96.611, 55.9266
6.18999e+08, -0.0205761, 0.0919067, 87.6176, 49.1788
6.263e+08, -0.0196616, 0.103795, 87.5974, 50.5598
6.33602e+08, -0.0169182, 0.110654, 84.2776, 48.3628
6.40897e+08, -0.0123457, 0.123457, 88.5677, 53.2371
6.48199e+08, -0.0137174, 0.139918, 97.6194, 63.1181
6.55501e+08, -0.00823045, 0.170096, 85.1793, 52.0094
6.62802e+08, 0.0147843, 0.189605, 79.0518, 45.4107
6.70098e+08, 0.0243865, 0.235178, 89.8992, 54.9459
6.77399e+08, 0.0288066, 0.304527, 95.0001, 59.5574
6.84701e+08, 0.0164609, 0.292181, 53.4049, 18.1405
6.92002e+08, 0.0150892, 0.325103, 99.046, 63.3496
6.99298e+08, 0.00411523, 0.310014, 80.486, 44.3787
7.066e+08, 0.0411523, 0.213992, 64.354, 29.1355
7.13901e+08, 0.0987654, 0.131687, 67.0215, 29.5252
7.21203e+08, 0.184271, 0.197531, 73.9481, 34.7987
7.28498e+08, 0.0384088, 0.147691, 61.205, 27.6924
7.358e+08, 0.0246914, 0.0978509, 62.2618, 29.255
7.43101e+08, 0.0123457, 0.0452675, 61.4038, 29.2285
7.50403e+08, 0.0137174, 0.0640146, 64.6713, 31.8021
7.57698e+08, 0.0173754, 0.0530407, 56.9335, 19.3958
7.65e+08, -0.00350556, 0.0614236, 54.6099, 18.5612
7.72302e+08, 0.0205761, 0.0823045, 67.0295, 28.1781
7.79597e+08, 0.0260631, 0.0685871, 64.0874, 25.911
7.86899e+08, 0.00533455, 0.0329218, 60.1518, 25.0398
7.942e+08, 0.0256059, 0.0246914, 80.0745, 43.2369
8.01502e+08, -1.11022e-16, -1.11022e-16, 43.615, 9.61921
8.08797e+08, 0.00960219, 0.0205761, 62.8428, 25.5485
8.16099e+08, 0.0274348, 0.0167657, 66.8593, 26.4808
8.234e+08, -0.000152416, 0.0367322, 60.2075, 14.9702
8.30702e+08, 0.0164609, 0.00411523, 91.367, 50.355
8.37998e+08, -0.0246914, -0.0246914, 71.3415, 24.6379
8.45299e+08, -0.0243865, 0.000152416, 68.203, 19.767
8.52601e+08, 0.00685871, -0.00274348, 65.4432, 16.9657
8.59902e+08, 0.00137174, 0.00548697, 72.2552, 26.1126
8.67198e+08, 0.0384088, -0.0164609, 61.0912, 14.702
8.74499e+08, 0.0492303, -0.0617284, 80.9674, 34.1602
8.81801e+08, 0.0259107, -0.11797, 72.1138, 22.3738
8.89103e+08, 0.0205761, 0.00823045, 73.3504, 13.4705
8.96398e+08, -0.0315501, -0.0466392, 69.5327, 20.7145
9.037e+08, 0.00411523, -0.000457247, 67.3617, 16.2347
9.18303e+08, -0.00411523, -0.00411523, 66.3558, 12.5894
9.25598e+08, -0.0164609, -0.0164609, 72.9606, 20.1357
9.329e+08, -1.11022e-16, -0.0123457, 68.7155, 24.6563
9.40201e+08, -0.0576132, -0.0178326, 57.1803, 12.7957
9.47497e+08, -0.0192044, -0.0178326, 73.8606, 29.5887
9.54799e+08, -0.0152416, -0.0164609, 73.512, 26.1903
9.621e+08, -0.00411523, -0.0123457, 70.2927, 30.2217
9.69402e+08, -0.00823045, -0.00914495, 65.0356, 16.5945
9.76697e+08, -0.00198141, -0.00762079, 59.7811, 19.5749
9.83999e+08, -0.00701113, -0.0179851, 70.9215, 27.7173
9.913e+08, -0.00548697, -0.0123457, 62.6215, 0.618083
9.98602e+08, -0.00381039, -0.00274348, 66.0981, 18.9527
1.0059e+09, 0.0114312, -0.0128029, 69.3999, 25.6225
1.0132e+09, -0.00823045, -0.0164609, 67.8073, 13.7894
1.0205e+09, -0.0246914, -1.11022e-16, 72.8743, 27.3808
1.0278e+09, -0.00823045, -0.0452675, 66.6557, 18.7517
1.0351e+09, -0.0164609, -0.0192044, 72.7853, 18.346
1.0424e+09, -0.0123457, -0.0246914, 74.3706, 28.9436
1.0497e+09, 0.0123457, -0.0534979, 73.4019, 26.2684
1.057e+09, -0.00274348, -0.0349032, 73.0129, 24.0254
1.0643e+09, -0.0128029, -0.123457, 83.8453, 33.6227
1.0716e+09, -0.000304832, -0.196769, 107.04, 57.2801
1.0789e+09, -0.00457247, -0.21765, 71.5044, 22.0714
1.0862e+09, -0.0123457, -0.0783417, 115.387, 65.1601
1.0935e+09, -0.00152416, -0.0275873, 85.5345, 34.4303
1.1008e+09, -0.270233, 0.121628, 61.923, 13.7507
1.1081e+09, -0.0408474, 0.0207285, 104.08, 55.4408
1.1154e+09, -0.0309404, 0.0213382, 82.8201, 33.1608
1.1227e+09, -0.0281969, 0.0213382, 84.0138, 34.2633
1.13e+09, -0.0259107, 0.0263679, 90.7496, 43.0305
1.1373e+09, 0.00320073, -0.206676, 73.6706, 28.0105
1.1446e+09, -1.12757e-16, -0.0246914, 62.9492, 19.9521
1.1519e+09, -0.0315501, -0.00137174, 58.5005, 19.6378
1.1592e+09, -0.0495351, -0.0217955, 65.3792, 13.9517
1.1665e+09, -0.0329218, -1.12757e-16, 68.8883, 23.8782
1.1738e+09, -0.0150892, -0.00137174, 58.7366, 19.7801
1.1811e+09, 0.0118884, -0.0114312, 64.3676, 24.8718
1.1884e+09, 0.00152416, -0.000152416, 63.444, 24.4094
1.1957e+09, -0.00533455, 0.00335315, 63.391, 21.9025
1.203e+09, -0.0164609, -1.12757e-16, 64.4904, 24.5175
1.2103e+09, 0.00137174, -0.0384088, 67.1049, 29.7536
1.2176e+09, -0.0233196, -0.0342936, 63.6405, 20.0302
1.2249e+09, -0.0288066, -0.0859625, 65.2893, 27.7529
1.2322e+09, -0.0123457, -0.0987654, 56.6425, 17.6629
1.2395e+09, 0.160494, 0.135802, 53.2558, 17.2417
1.2468e+09, -0.00274348, 0.00137174, 62.6332, 27.539
1.2541e+09, -0.0781893, -0.115074, 54.8656, 13.0131
1.2614e+09, 0.037037, 0.0740741, 55.8765, 7.43312
1.2687e+09, -0.0137174, 0.00274348, 59.7065, 20.3796
1.276e+09, -0.0219479, -0.0315501, 81.4409, 38.9011
1.2833e+09, -0.0205761, -0.00823045, 74.0812, 27.6202
1.2906e+09, -0.00960219, 0.00274348, 67.3313, 13.5047
1.2979e+09, -0.0123457, -0.0123457, 70.6485, 14.4378
1.3052e+09, -0.0109739, 0.00411523, 68.5662, 17.3079
1.3125e+09, -0.0288066, -1.12757e-16, 69.7462, 19.5889
1.3198e+09, -0.0123457, 0.00137174, 70.65, 27.4699
1.3271e+09, -0.000304832, -0.000304832, 70.2041, 15.521
1.3344e+09, -1.10589e-16, 0.00137174, 65.9974, 15.854
1.3417e+09, -0.00411523, 0.0246914, 64.3927, 14.6728
1.349e+09, -1.11022e-16, 0.0246914, 68.4006, 21.4749
1.3563e+09, 0.00411523, 0.0246914, 61.1535, 2.40445
1.3636e+09, 0.0164609, 0.00823045, 63.4854, 1.7452
1.3709e+09, -1.11022e-16, -1.11022e-16, 62.3163, 18.8586
1.3782e+09, 0.00823045, 0.0329218, 70.3138, 25.3096
1.3855e+09, 0.0123457, 0.037037, 63.8628, 14.9239
1.3928e+09, -0.00548697, 0.00274348, 61.9154, 18.3635
1.4001e+09, 0.00960219, 0.0123457, 67.1503, 24.0319
1.4074e+09, 0.0121933, 0.0248438, 65.0401, 18.3309
1.4147e+09, -0.00502972, 0.0173754, 86.9848, 46.0375
1.422e+09, 0.00411523, 0.0163085, 67.2088, 23.3887
1.4293e+09, -0.0246914, 0.0123457, 66.233, 22.294
1.4366e+09, -0.0166133, 0.0249962, 62.7807, 19.9264
1.4439e+09, -0.0288066, 0.0164609, 61.4936, 7.22397
1.4512e+09, -0.0123457, 0.00411523, 62.0074, 0.440926
1.4585e+09, -0.00548697, 0.00411523, 78.174, 21.2478
1.4658e+09, -0.000152416, 0.000152416, 66.0209, 1.89276
1.4731e+09, -0.0120408, -0.00442006, 84.4886, 29.7205
1.4804e+09, -0.00350556, -0.0115836, 89.4624, 31.5845
1.4877e+09, -0.00365798, -0.0114312, 82.2342, 26.5258
1.495e+09, -0.00182899, -0.0149367, 92.6798, 38.2644
