name, TX Frontend Calibration
serial, F5942E
timestamp, 1454421840
version, 0, 1
DATA STARTS HERE
lo_frequency, correction_real, correction_imag, measured, delta
4e+08, -0.051669, -0.173144, 91.5433, 58.7471
4.07302e+08, -0.0800183, -0.250114, 86.5508, 57.0151
4.14599e+08, -0.048011, -0.351623, 94.6192, 67.3708
4.21901e+08, 0.0281969, -0.464716, 101.539, 75.8543
4.29198e+08, 0.16278, -0.61134, 79.1691, 54.8872
4.365e+08, 0.319463, -0.75522, 78.7557, 55.4486
4.43801e+08, 0.415638, -0.82716, 82.2368, 59.2433
4.51099e+08, 0.390642, -0.790123, 88.3394, 65.4599
4.584e+08, 0.404664, -0.784636, 79.2236, 56.6021
4.657e+08, 0.466392, -0.805365, 85.7937, 63.2448
4.73001e+08, 0.515775, -0.823045, 88.0329, 65.6373
4.80298e+08, 0.532236, -0.806584, 80.7559, 58.3627
4.876e+08, 0.522634, -0.771834, 92.6148, 70.0228
4.94901e+08, 0.484377, -0.711934, 93.6429, 70.6116
5.02198e+08, 0.427984, -0.621704, 88.319, 64.4027
5.09499e+08, 0.356043, -0.519738, 84.3589, 59.1701
5.16801e+08, 0.276177, -0.414723, 92.3694, 65.6305
5.24098e+08, 0.222222, -0.334248, 94.9101, 66.5547
5.31399e+08, 0.18107, -0.264746, 97.3694, 67.3747
5.38701e+08, 0.141899, -0.213535, 79.851, 48.1398
5.46002e+08, 0.111568, -0.173297, 83.7187, 50.6279
5.53299e+08, 0.0906874, -0.142966, 83.0607, 48.1926
5.60601e+08, 0.0685871, -0.105624, 76.9706, 39.8942
5.67902e+08, 0.0496875, -0.0723975, 83.3907, 43.4252
5.75201e+08, 0.0286542, -0.0373419, 84.7516, 39.1245
5.82503e+08, 0.0141747, -0.000457247, 96.2973, 43.9495
5.89799e+08, 0.00457247, 0.0269776, 91.1117, 43.6604
5.971e+08, -0.00320073, 0.0539552, 83.3348, 40.5925
6.04402e+08, -0.00548697, 0.0713306, 86.3941, 46.3465
6.11697e+08, -0.0114312, 0.0861149, 92.3233, 53.3509
6.18999e+08, -0.0132602, 0.0978509, 88.6708, 50.8507
6.263e+08, -0.0123457, 0.101509, 85.0718, 48.3301
6.33602e+08, -0.00548697, 0.105624, 85.5918, 49.28
6.40897e+08, -0.00411523, 0.116598, 85.9113, 49.8351
6.48199e+08, -0.00624905, 0.131687, 84.8488, 49.9624
6.55501e+08, 0.0086877, 0.159579, 81.4279, 47.3057
6.62802e+08, 0.0243865, 0.159427, 90.264, 55.4065
6.70098e+08, 0.0330742, 0.197988, 97.4215, 61.4619
6.77399e+08, 0.0368846, 0.268709, 82.1324, 45.6643
6.84701e+08, 0.0356653, 0.319616, 90.864, 54.5867
6.92002e+08, 0.0333791, 0.375857, 80.4482, 44.0455
6.99298e+08, 0.0205761, 0.374333, 83.3588, 46.2502
7.066e+08, 0.0301783, 0.203018, 72.5851, 34.472
7.13901e+08, 0.0836763, 0.133973, 79.5703, 42.7439
7.21203e+08, 0.119342, 0.0823045, 71.6613, 34.5701
7.28498e+08, 0.106691, 0.160646, 61.0547, 24.5532
7.358e+08, 0.0384088, 0.124829, 67.6088, 32.6347
7.43101e+08, 0.0260631, 0.0987654, 72.0244, 36.099
7.50403e+08, 0.0123457, 0.135802, 58.7268, 24.3381
7.57698e+08, 0.0196616, 0.0978509, 68.1065, 34.7674
7.65e+08, 0.0371895, 0.0617284, 49.5854, 16.5716
7.72302e+08, 0.0411523, 0.106996, 65.6296, 27.4848
7.79597e+08, 0.037037, 0.0534979, 57.3228, 18.7923
7.86899e+08, 0.0246914, 0.0384088, 65.875, 30.6694
7.942e+08, 0.0123457, 0.0534979, 58.8879, 23.1008
8.01502e+08, 0.0192044, 0.0137174, 59.0311, 22.9913
8.08797e+08, 0.00274348, 0.0219479, 55.4528, 17.0879
8.16099e+08, 0.037037, 0.037037, 59.719, 20.8343
8.234e+08, 0.0329218, -0.0411523, 55.0189, 1.64276
8.30702e+08, -0.037037, -0.037037, 59.619, 14.8077
8.37998e+08, 0.037037, 0.0123457, 62.088, 9.22681
8.45299e+08, 0.0126505, -0.000152416, 58.1055, 7.179
8.52601e+08, -0.0118884, 0.0132602, 56.3594, 1.00269
8.59902e+08, 0.037037, -1.11022e-16, 63.2074, 21.5577
8.67198e+08, 0.037037, -1.11022e-16, 66.2687, 29.7107
8.74499e+08, 0.0274348, -0.0716354, 77.0845, 33.3954
8.81801e+08, 0.0484682, 0.0251486, 66.3168, 14.371
8.89103e+08, 0.00960219, -0.0274348, 72.5717, 15.122
8.96398e+08, 0.0320073, -1.12649e-16, 65.1796, 15.6524
9.037e+08, 0.00563938, -0.00792562, 67.3191, 15.1743
9.11001e+08, 0.0205761, -0.0205761, 69.7626, 21.1096
9.18303e+08, 0.0086877, -0.00213382, 69.9563, 19.7144
9.25598e+08, 0.00411523, 0.00228624, 65.9707, 24.2148
